MAIN_ID,OTYPE_S,RA_d,DEC_d,Z_VALUE
MCG+06-05-038,GinGroup,28.458654,36.787506,0.015571
2MASX J01393117+3349278,Galaxy,24.879896,33.824406,0.016118
UGC  1347,RadioG,28.19125,36.619311,0.01847
2MASX J01472830+3706575,Galaxy,26.867925,37.115981,0.1183
IRAS F01527+3113,Galaxy,28.9071,31.4698,0.035141
NFP J015145.1+363010,Galaxy,27.93808,36.50286,0.0816
2MASX J01523447+3600462,Galaxy,28.143637,36.012858,0.0162
2MASX J01470281+3530268,Galaxy,26.761721,35.507447,0.07997
NGC   732,GinGroup,29.11588,36.80194,0.01966
2MASX J01510203+3326563,Galaxy,27.758471,33.448975,0.08631
Mrk 1164,Galaxy,25.260663,32.893119,0.0397
2MASX J01474731+3721345,Galaxy,26.947146,37.359589,0.07375
2MASX J01545893+3410039,Galaxy,28.745579,34.167769,0.08403
2MASX J02003004+3109143,Galaxy,30.125187,31.153989,0.0149
2MASX J02053064+3737269,Galaxy,31.377679,37.624161,0.063404
2MASX J01541126+3555204,GinGroup,28.546937,35.922336,0.014417
2MASX J01432858+3036044,Galaxy,25.8691,30.601239,0.032216
NGC   739,GinGroup,29.227692,33.266564,0.01505
2MASX J02005871+3754423,Galaxy,30.244667,37.911769,0.013565
4C 35.03,RadioG,32.410687,35.797206,0.03694
2MASX J01475202+3725134,Galaxy,26.966767,37.420414,0.07403
2MASX J01470060+3701282,Galaxy,26.752517,37.024503,0.086422
MCG+05-05-043,Galaxy,30.2717,31.7544,0.1747
UGC  1619,GroupG,31.99617,35.19783,0.0456
2MASX J01535422+3118012,Galaxy,28.47595,31.300342,0.03763
2MASX J01505795+3228042,Galaxy,27.741488,32.467856,0.03764
UGC  1366,GinGroup,28.582583,36.629842,0.017012
NFP J015056.7+362609,Galaxy,27.73621,36.43569,0.07982
AGC 122962,Galaxy,31.6104,31.5147,0.0254
UGC  1272,GinGroup,27.315454,35.073106,0.016551
2MASX J01523039+3319101,Galaxy,28.126633,33.319489,0.03648
2MASX J01520678+3524531,GinGroup,28.028271,35.414764,0.016251
MCG+06-05-040,GinGroup,28.458875,36.350281,0.01393
2MASX J01550030+3449449,Galaxy,28.751287,34.829167,0.03607
2MASX J01483313+3212086,Galaxy,27.138079,32.202392,0.122
