label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,tot_flux,peak_flux,brightest_pix,max_loc,elongation,detection_size,n_vel,nx_kpc,ny_kpc,file,true_positive_mocks,overlap_area,area_gt,true_positive_real,dist,nx,ny,mos_name,hi_mass,asymmetry,f1,method,type,freq,label_sofia,centroid-0_sofia,centroid-1_sofia,centroid-2_sofia,bbox-0_sofia,bbox-1_sofia,bbox-2_sofia,bbox-3_sofia,bbox-4_sofia,bbox-5_sofia,area_sofia,tot_flux_sofia,peak_flux_sofia,brightest_pix_sofia,elongation_sofia,detection_size_sofia,n_vel_sofia,nx_kpc_sofia,ny_kpc_sofia,file_sofia,true_positive_mocks_sofia,overlap_area_sofia,area_gt_sofia,true_positive_real_sofia,dist_sofia,nx_sofia,ny_sofia,hi_mass_sofia,asymmetry_sofia,f1_sofia,method_sofia,type_sofia,freq_sofia,label_vnet,centroid-0_vnet,centroid-1_vnet,centroid-2_vnet,bbox-0_vnet,bbox-1_vnet,bbox-2_vnet,bbox-3_vnet,bbox-4_vnet,bbox-5_vnet,area_vnet,tot_flux_vnet,peak_flux_vnet,brightest_pix_vnet,elongation_vnet,detection_size_vnet,n_vel_vnet,nx_kpc_vnet,ny_kpc_vnet,file_vnet,true_positive_mocks_vnet,hi_mass_vnet,overlap_area_vnet,area_gt_vnet,true_positive_real_vnet,dist_vnet,nx_vnet,ny_vnet,asymmetry_vnet,f1_vnet,method_vnet,type_vnet,freq_vnet
1026,56.880624426078974,1561.824150596878,1820.958218549128,33,1553,1816,82,1570,1829,2178,5201.57763671875,5201.57763671875,13.042195320129396,"[45, 1561, 1822]",9.267328278329346,10829,378.7351992613409,228.62022558328286,174.82722541112315,data/mto_output/mtocubeout_loud_1245mosH.fits,True,1630.0,2863.0,False,462.3166818534443,17.0,13.0,1245mosH,645337082110.7261,0.375,0.9557314570507183,,,1282014160.16,24,62.10604732690622,1561.8831434414255,1820.551855097868,38,1554,1813,86,1570,1828,3423,4859.8173828125,4859.8173828125,13.042195320129396,3.219823098014092,11520,371.0059094804972,214.79352919220904,201.36893185699662,data/sofia_output/sofia_loud_1245mosH_mask.fits,True,2400.0,2863.0,False,461.50355636222326,16.0,15.0,536762491209.4567,0.746031746031746,1.2352032938754502,,,1282233886.7225,9,63.91210079109288,1563.2581306768238,1821.1547026076764,44,1555,1815,84,1573,1829,3413,4223.72998046875,4223.72998046875,13.042195320129396,2.482490462647124,10080,309.1715912337477,241.57178056820854,187.8891558808354,data/vnet_output/vnet_cubeout_loud_1245mosH.fits,True,-56463199957.19447,2564.0,2863.0,False,461.36806253995326,18.0,14.0,0.3333333333333333,1.3814655172413792,,,1282270507.81625
1963,110.5158501440922,547.6210374639769,584.5677233429395,83,542,578,121,553,591,694,1920.4638671875,1920.4638671875,11.051807403564451,"[114, 547, 585]",2.6666666666666665,5434,293.7130116720603,145.59229948782456,172.06362899692166,data/mto_output/mtocubeout_loud_1245mosH.fits,True,529.0,750.0,False,455.0085711104454,11.0,13.0,1245mosH,,1.0,1.1562841530054644,,,1283991699.2225,22,112.40962099125365,547.4285714285714,584.6268221574344,104,543,580,119,553,591,686,1612.3221435546875,1612.3221435546875,11.051807403564451,1.972489520898896,1650,115.93934671265538,132.27802592265573,145.50582937676936,data/sofia_output/sofia_loud_1245mosH_mask.fits,True,515.0,750.0,False,454.73833263070856,10.0,11.0,664563887546.0265,0.6928471248246845,1.1183496199782845,,,1284064941.41,191,113.67363636363636,547.1227272727273,585.06,108,540,580,120,556,591,1100,1637.79833984375,1637.79833984375,11.051807403564451,2.2076255164567344,2112,92.75147737012428,211.5819688132211,145.46259802028356,data/vnet_output/vnet_cubeout_loud_1245mosH.fits,True,-5174232470.961324,750.0,750.0,False,454.6032249511748,16.0,11.0,1.0,1.3636363636363635,,,1284101562.50375
2643,144.7459677419355,858.2822580645161,1373.4556451612902,141,854,1371,149,864,1377,248,762.6021118164062,762.6021118164062,9.764814376831056,"[145, 858, 1373]",2.7250622097519552,480,61.83431824674954,131.0214973457599,78.61289698838277,data/mto_output/mtocubeout_loud_1245mosH.fits,True,248.0,612.0,False,450.41870579945737,10.0,6.0,1245mosH,206730392661146.53,0.3978234582829504,0.8104575163398693,,,1285236816.41,19,144.80321285140562,858.0281124497992,1373.3453815261043,140,854,1370,150,864,1377,249,738.50439453125,738.50439453125,9.764814376831056,1.7292625216767428,700,77.29289780843692,131.0214973457599,91.71504682273734,data/sofia_output/sofia_loud_1245mosH_mask.fits,True,245.0,612.0,False,450.41870579945737,10.0,7.0,121702431596.13116,0.8735632183908046,0.7954545454545454,,,1285236816.41,193,144.67248062015503,858.2063953488372,1373.577519379845,139,851,1369,151,867,1379,1032,838.360107421875,838.360107421875,9.764814376831056,2.472322744187752,1920,92.75147737012428,209.63440497719222,131.0214973457599,data/vnet_output/vnet_cubeout_loud_1245mosH.fits,True,377927565468.2322,612.0,612.0,False,450.41870579945737,16.0,10.0,0.7904233171408744,1.186046511627907,,,1285236816.41
4,66.00839562967222,1076.432604945371,1641.3864289821736,34,1048,1619,98,1111,1666,17390,84560.59375,84560.59375,33.76665115356445,"[82, 1082, 1635]",6.310700973181985,189504,494.6745459739963,93.58044510772399,69.81394820149927,data/mto_output/mtocubeout_loud_1245mosB.fits,True,15477.0,21153.0,False,51.06436588135976,63.0,47.0,1245mosB,60660197653.64989,0.75,1.3419752015954218,,,1403669432.1575,423,66.24638809316228,1077.6280047328437,1641.351880682526,36,1048,1620,99,1108,1665,32116,82152.28125,82152.28125,33.76665115356445,4.254961916489015,170100,486.94525619315255,89.12422416007581,66.84313842603866,data/sofia_output/sofia_loud_1245mosB_mask.fits,True,20133.0,21153.0,False,51.06436588135976,60.0,45.0,59570535673.4138,0.5,1.2151738290680831,,,1403669432.1575,3,67.3261811023622,1078.7832677165354,1641.261466535433,41,1047,1620,96,1109,1662,20320,81033.15625,81033.15625,33.76665115356445,7.12397477638469,143220,425.110937946403,91.89112555374774,62.24879046843535,data/vnet_output/vnet_cubeout_loud_1245mosB.fits,True,-1831637178.343249,18650.0,21153.0,False,50.95130161135326,62.0,42.0,0.3777777777777777,1.6343162599132455,,,1403706053.25125
5,66.8795421511628,237.05359738372093,578.0067223837209,39,225,565,92,253,591,5504,13591.009765625,13591.009765625,12.848694801330566,"[87, 238, 573]",3.6814746531956937,38584,409.6523583847157,41.5912715736373,38.620465284787585,data/mto_output/mtocubeout_loud_1245mosB.fits,True,5218.0,9143.0,False,51.06436588135976,28.0,26.0,1245mosB,78246608722.54486,0.4666666666666667,1.1067981758404921,,,1403669432.1575,441,67.43388323788358,237.14283272074536,577.7610906915121,39,226,565,96,249,592,11699,13369.0009765625,13369.0009765625,12.848694801330566,2.166266172796671,35397,440.5695175080905,34.088611477475204,40.01706790485964,data/sofia_output/sofia_loud_1245mosB_mask.fits,True,8457.0,9143.0,False,50.95130161135326,23.0,27.0,818352042455.228,0.1411231729207624,1.3656842955187727,,,1403706053.25125,4,67.00510144927536,237.2757101449276,578.3063188405797,43,227,565,93,249,592,8625,12984.2412109375,12984.2412109375,12.848694801330566,3.489416456071261,29700,386.4644890421845,32.6064975211217,40.01706790485964,data/vnet_output/vnet_cubeout_loud_1245mosB.fits,True,9230627714.39962,8006.0,9143.0,False,50.95130161135326,22.0,27.0,0.9074074074074074,1.6402376562179881,,,1403706053.25125
15,67.44079059464985,1277.0901346055546,1801.5021298347249,40,1257,1788,95,1296,1818,5869,14383.3671875,14383.3671875,13.097089767456056,"[88, 1278, 1796]",6.966718705231619,64350,425.110937946403,57.802444330398565,44.463410927696955,data/mto_output/mtocubeout_loud_1245mosB.fits,True,5294.0,9761.0,False,50.95130161135326,39.0,30.0,1245mosB,240633972416.4333,0.75,1.0243808049535603,,,1403706053.25125,430,68.02474062250599,1277.1075019952116,1800.9945730247407,39,1266,1788,98,1289,1814,12530,13751.763671875,13751.763671875,13.097089767456056,1.840117226755927,35282,456.0280970697778,34.01297056640839,38.44944658229811,data/sofia_output/sofia_loud_1245mosB_mask.fits,True,8763.0,9761.0,False,50.8382432406282,23.0,26.0,44840990688.78792,1.0,1.2955351862803075,,,1403742674.345,6,67.86373601015346,1277.1541479173875,1801.3816776277836,43,1267,1788,94,1289,1815,8667,13460.1015625,13460.1015625,13.097089767456056,4.033520559339605,30294,394.19377882302825,32.6064975211217,40.01706790485964,data/vnet_output/vnet_cubeout_loud_1245mosB.fits,True,106053050945.05244,8234.0,9761.0,False,50.95130161135326,22.0,27.0,0.2857142857142857,1.615460074553659,,,1403706053.25125
16,64.11077677476875,374.8380697648501,1273.1432073999777,41,349,1260,87,402,1286,8973,43221.296875,43221.296875,33.491676330566406,"[79, 366, 1273]",1.0852355788492474,63388,355.54732991880985,79.07503208373346,38.79150183540784,data/mto_output/mtocubeout_loud_1245mosB.fits,True,8373.0,10668.0,False,51.29051212106855,53.0,26.0,1245mosB,235706902501.76337,0.5,1.4861554845580405,,,1403596189.97,414,68.74167671334509,375.0729388852824,1275.7274877121397,39,351,1263,101,400,1296,21566,45741.90625,45741.90625,33.491676330566406,1.514379708503184,100254,479.2159664123089,72.46245381496733,48.80122634690472,data/sofia_output/sofia_loud_1245mosB_mask.fits,True,13403.0,10668.0,False,50.8382432406282,49.0,33.0,245403157536.68668,0.3877551020408163,1.4235037969305933,,,1403742674.345,5,63.70700578459278,375.364337526398,1273.455972821596,43,351,1264,86,401,1285,10891,42152.21875,42152.21875,33.491676330566406,1.1902552967334663,45150,332.3594605762788,74.7635515490904,31.400673414739565,data/vnet_output/vnet_cubeout_loud_1245mosB.fits,True,111779170775.27362,10109.0,10668.0,False,51.40359409169329,50.0,21.0,0.5277777777777778,1.765764192139738,,,1403559568.87625
19,68.34326967862133,1537.2369197329608,608.0480515447912,42,1513,587,96,1559,630,12882,43611.6640625,43611.6640625,21.29331398010254,"[86, 1541, 601]",8.71406415981783,106812,417.38164816555934,68.02597158250221,63.589490386133775,data/mto_output/mtocubeout_loud_1245mosB.fits,True,12425.0,15948.0,False,50.8382432406282,46.0,43.0,1245mosB,4675058103752.157,0.6454948301329394,1.5147820786345627,,,1403742674.345,428,68.05219835374423,1537.0435253965068,607.9819313390885,41,1518,586,98,1556,631,24905,42345.81640625,42345.81640625,21.29331398010254,3.7228041095645352,97470,440.5695175080905,56.19535717776184,66.54714440526108,data/sofia_output/sofia_loud_1245mosB_mask.fits,True,16615.0,15948.0,False,50.8382432406282,38.0,45.0,3953379907513.648,0.4426229508196721,1.3709877052562092,,,1403742674.345,8,68.21686670476916,1537.4287800850957,608.4202705277196,45,1520,588,93,1555,629,15747,41885.71484375,41885.71484375,21.29331398010254,6.881035778216112,68880,371.0059094804972,51.758878413967025,60.63183679746198,data/vnet_output/vnet_cubeout_loud_1245mosB.fits,True,13442267400.724588,14775.0,15948.0,False,50.8382432406282,35.0,41.0,1.0,1.74645390070922,,,1403742674.345
20,64.61341095299699,1612.2943078913324,1643.6131953428203,44,1599,1630,87,1628,1657,4638,11140.9853515625,11140.9853515625,11.924839973449709,"[51, 1614, 1640]",3.157812503117493,33669,332.3594605762788,43.267446368492465,40.283483277421865,data/mto_output/mtocubeout_loud_1245mosB.fits,True,4154.0,7960.0,False,51.29051212106855,29.0,27.0,1245mosB,547436554462.9116,0.5789473684210527,0.9838938891520607,,,1403596189.97,472,65.08695652173913,1611.9123896698268,1643.8671679197994,42,1601,1632,90,1624,1656,9177,10252.9052734375,10252.9052734375,11.924839973449709,2.0807086088254625,26496,371.0059094804972,34.23990514053746,35.72859714202314,data/sofia_output/sofia_loud_1245mosB_mask.fits,True,7024.0,7960.0,False,51.1774360511108,23.0,24.0,203319688841.6657,0.2849515092078021,1.3891031345792544,,,1403632811.06375,11,65.07544358661791,1611.9958011648382,1644.163077339835,45,1600,1633,86,1624,1656,7383,10099.958984375,10099.958984375,11.924839973449709,2.8775737315958825,22632,316.9008810145914,35.72859714202314,34.23990514053746,data/vnet_output/vnet_cubeout_loud_1245mosB.fits,True,-2943058711.4112525,6930.0,7960.0,False,51.1774360511108,24.0,23.0,0.75,1.6474503744205395,,,1403632811.06375
21,76.7457644262378,922.502503413746,1456.4707092162714,45,831,1400,114,1019,1515,59319,187955.140625,187955.140625,23.887052536010746,"[59, 943, 1465]",5.096106227459559,1491780,533.3209948782148,273.0766485625618,167.04052480517066,data/mto_output/mtocubeout_loud_1245mosB.fits,True,34811.0,33338.0,False,49.93398859360453,188.0,115.0,1245mosB,118084877931.06483,0.75,1.203575009508004,,,1404035643.095,410,75.24795880119294,929.3663890744936,1456.2566125063152,45,892,1424,101,969,1491,61361,127715.140625,127715.140625,23.887052536010746,4.798593917831464,288904,432.8402277272467,112.09742247381632,97.53927604272674,data/sofia_output/sofia_loud_1245mosB_mask.fits,True,32066.0,33338.0,False,50.046999786686726,77.0,67.0,1609304004096.138,0.2914798206278027,1.0239330704261331,,,1403999022.00125,48,75.17797375391284,930.0215205875272,1456.303756320732,55,897,1425,97,964,1487,33224,124917.953125,124917.953125,23.887052536010746,13.0348716712997,174468,324.63017079543505,97.53927604272674,90.260209171223,data/vnet_output/vnet_cubeout_loud_1245mosB.fits,True,295511380139.93713,29760.0,33338.0,False,50.046999786686726,67.0,62.0,1.0,1.6173034074235095,,,1403999022.00125
