filename,mass
g1_model976,9.9917
g1_model412,8.8948
g1_model903,9.7178
g1_model972,9.9706
g1_model627,9.1528
g1_model347,8.8252
g1_model846,9.5469
g1_model721,9.2872
g1_model980,10.016
g1_model833,9.5132
g1_model896,9.6963
g1_model809,9.4719
g1_model430,8.9099
g1_model732,9.3113
g1_model330,8.8097
g1_model557,9.0764
g1_model594,9.1098
g1_model592,9.106
g1_model901,9.7103
g1_model795,9.4293
g1_model150,8.6238
g1_model48,8.545
g1_model918,9.7623
g1_model920,9.7725
g1_model965,9.942
g1_model549,9.0626
g1_model943,9.8411
g1_model149,8.6233
g1_model488,8.9912
g1_model107,8.5911
g1_model887,9.6711
g1_model359,8.8394
g1_model473,8.9701
g1_model316,8.8006
g1_model538,9.0532
g1_model445,8.9323
g1_model349,8.8284
g1_model646,9.1802
g1_model663,9.1995
g1_model450,8.9395
g1_model350,8.8285
g1_model403,8.8863
g1_model593,9.1061
g1_model45,8.5408
g1_model68,8.5555
g1_model103,8.5867
g1_model317,8.801
g1_model891,9.6832
g1_model250,8.7267
g1_model29,8.5269
g1_model617,9.1357
g1_model968,9.9549
g1_model256,8.7323
g1_model708,9.2697
g1_model873,9.6342
g1_model497,8.9996
g1_model480,8.9801
g1_model640,9.1721
g1_model186,8.6589
g1_model161,8.6341
g1_model518,9.0305
g1_model766,9.362
g1_model441,8.9281
g1_model230,8.7006
g1_model245,8.7183
g1_model652,9.185
g1_model176,8.6471
g1_model542,9.0573
g1_model583,9.0996
g1_model569,9.0888
g1_model436,8.9204
g1_model558,9.079
g1_model12,8.5097
g1_model73,8.5572
g1_model686,9.2328
g1_model69,8.556
g1_model296,8.7722
g1_model656,9.1886
g1_model562,9.0839
g1_model487,8.9896
g1_model201,8.6757
g1_model234,8.7074
g1_model857,9.5664
g1_model831,9.5099
g1_model699,9.2507
g1_model759,9.3528
g1_model783,9.41
g1_model235,8.709
g1_model871,9.6248
g1_model500,9.0063
g1_model550,9.0629
g1_model764,9.3611
g1_model818,9.4882
g1_model770,9.3661
g1_model320,8.8041
g1_model408,8.8923
g1_model509,9.0144
g1_model800,9.4536
g1_model483,8.9853
g1_model691,9.2411
g1_model625,9.1428
g1_model327,8.8082
g1_model874,9.6354
g1_model32,8.5299
g1_model400,8.8838
g1_model844,9.5382
g1_model879,9.6479
g1_model226,8.6986
g1_model828,9.5048
g1_model692,9.2423
g1_model522,9.0377
g1_model725,9.2976
g1_model780,9.402
g1_model180,8.6525
g1_model406,8.8883
g1_model720,9.2863
g1_model649,9.183
g1_model548,9.0617
g1_model726,9.2987
g1_model994,10.1467
g1_model864,9.598
g1_model863,9.5967
g1_model351,8.8307
g1_model983,10.0358
g1_model339,8.8151
g1_model979,10.0026
g1_model714,9.2754
g1_model295,8.772
g1_model200,8.6732
g1_model25,8.5204
g1_model587,9.1015
g1_model291,8.7634
g1_model309,8.7943
g1_model303,8.785
g1_model545,9.0586
g1_model971,9.9594
g1_model314,8.7998
g1_model850,9.5493
g1_model923,9.7796
g1_model963,9.9366
g1_model610,9.1228
g1_model975,9.9882
g1_model145,8.6203
g1_model598,9.1122
g1_model575,9.0949
g1_model875,9.6365
g1_model728,9.3019
g1_model58,8.5489
g1_model959,9.9118
g1_model849,9.5489
g1_model301,8.7831
g1_model600,9.1131
g1_model171,8.6439
g1_model80,8.5651
g1_model614,9.1318
g1_model607,9.1202
g1_model308,8.7908
g1_model858,9.569
g1_model36,8.5331
g1_model147,8.6217
g1_model377,8.858
g1_model165,8.638
g1_model956,9.8994
g1_model893,9.6871
g1_model773,9.3849
g1_model172,8.644
g1_model148,8.6219
g1_model357,8.8386
g1_model384,8.8633
g1_model19,8.5142
g1_model214,8.6855
g1_model203,8.6777
g1_model372,8.8518
g1_model496,8.9983
g1_model452,8.9442
g1_model242,8.715
g1_model212,8.684
g1_model880,9.6529
g1_model733,9.3119
g1_model246,8.7211
g1_model996,10.1625
g1_model940,9.8379
g1_model20,8.5157
g1_model734,9.312
g1_model463,8.9607
g1_model2,8.5021
g1_model346,8.8231
g1_model718,9.2844
g1_model251,8.7271
g1_model570,9.0909
g1_model361,8.8408
g1_model998,10.2021
g1_model767,9.3631
g1_model206,8.6784
g1_model392,8.8743
g1_model765,9.3614
g1_model51,8.546
g1_model941,9.8395
g1_model772,9.3772
g1_model18,8.5127
g1_model56,8.5476
g1_model460,8.9584
g1_model641,9.1737
g1_model776,9.3942
g1_model628,9.1532
g1_model459,8.9571
g1_model162,8.6361
g1_model137,8.6155
g1_model777,9.3989
g1_model15,8.5111
g1_model723,9.2909
g1_model547,9.0604
g1_model504,9.0077
g1_model595,9.1101
g1_model1008,10.3896
g1_model479,8.9798
g1_model312,8.7972
g1_model624,9.1414
g1_model266,8.7398
g1_model370,8.8516
g1_model706,9.263
g1_model461,8.9592
g1_model244,8.7182
g1_model735,9.3151
g1_model261,8.7356
g1_model322,8.8048
g1_model682,9.2299
g1_model371,8.8517
g1_model495,8.9978
g1_model919,9.7646
g1_model748,9.3389
g1_model383,8.8628
g1_model524,9.0381
g1_model977,9.9956
g1_model944,9.8443
g1_model690,9.2409
g1_model712,9.2733
g1_model951,9.878
g1_model99,8.5843
g1_model515,9.0274
g1_model664,9.202
g1_model237,8.7109
g1_model797,9.4416
g1_model567,9.0877
g1_model810,9.4723
g1_model869,9.6225
g1_model744,9.3365
g1_model751,9.3425
g1_model798,9.4442
g1_model410,8.8947
g1_model83,8.5671
g1_model258,8.7332
g1_model31,8.5285
g1_model50,8.5455
g1_model66,8.5536
g1_model693,9.2456
g1_model655,9.1877
g1_model650,9.183
g1_model240,8.7122
g1_model302,8.7834
g1_model464,8.9611
g1_model768,9.3633
g1_model822,9.4941
g1_model784,9.411
g1_model443,8.9318
g1_model885,9.6655
g1_model490,8.992
g1_model141,8.6177
g1_model243,8.7151
g1_model1004,10.3117
g1_model827,9.5033
g1_model157,8.6325
g1_model601,9.1142
g1_model794,9.4286
g1_model297,8.7778
g1_model247,8.7216
g1_model926,9.7905
g1_model192,8.663
g1_model319,8.8038
g1_model576,9.0955
g1_model738,9.3193
g1_model609,9.1225
g1_model954,9.8907
g1_model616,9.134
g1_model840,9.5301
g1_model182,8.654
g1_model988,10.0698
g1_model531,9.0471
g1_model252,8.7302
g1_model280,8.7511
g1_model134,8.6133
g1_model868,9.6217
g1_model782,9.4079
g1_model993,10.1368
g1_model842,9.536
g1_model270,8.7432
g1_model124,8.6039
g1_model949,9.8645
g1_model402,8.8858
g1_model672,9.216
g1_model126,8.6051
g1_model597,9.1116
g1_model556,9.0728
g1_model895,9.6954
g1_model952,9.8819
g1_model599,9.1128
g1_model366,8.8462
g1_model394,8.8758
g1_model543,9.0576
g1_model703,9.2562
g1_model639,9.169
g1_model111,8.595
g1_model878,9.6434
g1_model191,8.6622
g1_model160,8.634
g1_model110,8.5935
g1_model563,9.0844
g1_model876,9.6387
g1_model166,8.6383
g1_model85,8.5692
g1_model711,9.2708
g1_model689,9.2364
g1_model680,9.2282
g1_model774,9.3934
g1_model197,8.6682
g1_model434,8.9189
g1_model653,9.1853
g1_model516,9.0295
g1_model574,9.0945
g1_model807,9.4686
g1_model1001,10.265
g1_model353,8.8313
g1_model332,8.8105
g1_model114,8.5974
g1_model387,8.8668
g1_model393,8.8748
g1_model122,8.6019
g1_model61,8.551
g1_model175,8.6463
g1_model492,8.995
g1_model571,9.0912
g1_model992,10.1361
g1_model477,8.9772
g1_model123,8.602
g1_model128,8.6061
g1_model845,9.5448
g1_model1007,10.3619
g1_model57,8.5479
g1_model100,8.5859
g1_model486,8.9881
g1_model1000,10.2505
g1_model791,9.4187
g1_model385,8.8643
g1_model40,8.5367
g1_model44,8.5405
g1_model405,8.8882
g1_model101,8.5861
g1_model694,9.2463
g1_model912,9.7502
g1_model997,10.1796
g1_model613,9.131
g1_model762,9.359
g1_model877,9.6402
g1_model187,8.6591
g1_model685,9.2324
g1_model932,9.803
g1_model605,9.117
g1_model510,9.0206
g1_model839,9.5286
g1_model222,8.6925
g1_model4,8.5044
g1_model724,9.2923
g1_model390,8.871
g1_model218,8.6874
g1_model292,8.7642
g1_model590,9.1049
g1_model805,9.4597
g1_model77,8.5626
g1_model752,9.3471
g1_model220,8.6908
g1_model439,8.9205
g1_model386,8.8648
g1_model283,8.7516
g1_model987,10.067
g1_model851,9.5498
g1_model211,8.683
g1_model388,8.8681
g1_model808,9.4693
g1_model834,9.5133
g1_model553,9.0659
g1_model179,8.6502
g1_model743,9.3334
g1_model5,8.5049
g1_model894,9.69
g1_model474,8.9718
g1_model67,8.5541
g1_model499,9.0051
g1_model437,8.9204
g1_model113,8.5957
g1_model684,9.2312
g1_model190,8.6613
g1_model559,9.079
g1_model262,8.7359
g1_model742,9.3324
g1_model622,9.1395
g1_model889,9.6795
g1_model116,8.5978
g1_model909,9.7376
g1_model785,9.4121
g1_model331,8.8101
g1_model354,8.8326
g1_model447,8.9347
g1_model238,8.7116
g1_model348,8.8267
g1_model753,9.3474
g1_model380,8.8606
g1_model924,9.7869
g1_model745,9.3365
g1_model985,10.059
g1_model659,9.1921
g1_model520,9.0336
g1_model267,8.7402
g1_model10,8.5075
g1_model127,8.6058
g1_model946,9.8499
g1_model580,9.0983
g1_model344,8.8222
g1_model379,8.8605
g1_model586,9.1012
g1_model771,9.376
g1_model986,10.0654
g1_model210,8.6829
g1_model118,8.5979
g1_model467,8.9653
g1_model63,8.5526
g1_model91,8.5749
g1_model539,9.054
g1_model89,8.574
g1_model731,9.3091
g1_model551,9.0633
g1_model169,8.6407
g1_model395,8.877
g1_model432,8.9171
g1_model62,8.5516
g1_model433,8.9175
g1_model989,10.0776
g1_model336,8.812
g1_model757,9.3511
g1_model358,8.8388
g1_model97,8.5805
g1_model229,8.7004
g1_model534,9.0497
g1_model290,8.7622
g1_model419,8.9012
g1_model429,8.9097
g1_model108,8.5931
g1_model662,9.1969
g1_model158,8.6337
g1_model46,8.5428
g1_model39,8.5346
g1_model404,8.8867
g1_model769,9.3648
g1_model198,8.6685
g1_model832,9.5101
g1_model702,9.2532
g1_model431,8.911
g1_model72,8.5572
g1_model92,8.5758
g1_model470,8.9678
g1_model84,8.5682
g1_model239,8.7122
g1_model304,8.7855
g1_model644,9.1766
g1_model286,8.7603
g1_model1005,10.3134
g1_model604,9.1163
g1_model231,8.7034
g1_model397,8.8775
g1_model746,9.3373
g1_model11,8.5096
g1_model591,9.1054
g1_model788,9.4157
g1_model615,9.1324
g1_model188,8.6594
g1_model532,9.0482
g1_model43,8.5389
g1_model391,8.8713
g1_model824,9.5008
g1_model255,8.7316
g1_model215,8.6857
g1_model342,8.8212
g1_model629,9.1537
g1_model670,9.2134
g1_model897,9.6972
g1_model602,9.1148
g1_model990,10.1044
g1_model1006,10.3248
g1_model778,9.3996
g1_model142,8.6187
g1_model898,9.7031
g1_model660,9.1924
g1_model758,9.3516
g1_model957,9.9009
g1_model811,9.4728
g1_model96,8.5798
g1_model93,8.5762
g1_model937,9.8201
g1_model195,8.6645
g1_model199,8.6727
g1_model381,8.8608
g1_model513,9.022
g1_model870,9.6248
g1_model803,9.4556
g1_model472,8.9697
g1_model281,8.7514
g1_model848,9.5481
g1_model854,9.5575
g1_model183,8.6558
g1_model60,8.5506
g1_model417,8.8985
g1_model700,9.2512
g1_model701,9.2514
g1_model325,8.8072
g1_model27,8.5259
g1_model928,9.7977
g1_model318,8.8019
g1_model253,8.7303
g1_model117,8.5979
g1_model65,8.5534
g1_model207,8.68
g1_model688,9.2353
g1_model260,8.7355
g1_model740,9.3306
g1_model7,8.5066
g1_model572,9.0914
g1_model164,8.6375
g1_model826,9.5015
g1_model416,8.8975
g1_model642,9.1745
g1_model654,9.187
g1_model815,9.4809
g1_model333,8.811
g1_model722,9.2897
g1_model568,9.0881
g1_model378,8.8582
g1_model468,8.966
g1_model578,9.0977
g1_model446,8.9332
g1_model521,9.0366
g1_model861,9.5829
g1_model465,8.9618
g1_model528,9.042
g1_model33,8.5319
g1_model905,9.7215
g1_model679,9.2271
g1_model552,9.0654
g1_model573,9.0931
g1_model315,8.8004
g1_model716,9.2826
g1_model806,9.4656
g1_model104,8.5874
g1_model94,8.5781
g1_model978,9.9982
g1_model81,8.5664
g1_model631,9.1556
g1_model829,9.5089
g1_model581,9.0991
g1_model506,9.0123
g1_model35,8.5326
g1_model326,8.8075
g1_model955,9.8926
g1_model425,8.9057
g1_model960,9.915
g1_model939,9.8245
g1_model619,9.1382
g1_model929,9.7992
g1_model687,9.2341
g1_model555,9.0724
g1_model630,9.1543
g1_model814,9.4807
g1_model289,8.7621
g1_model647,9.1811
g1_model626,9.1452
g1_model902,9.7114
g1_model181,8.6529
g1_model715,9.279
g1_model856,9.5653
g1_model144,8.6203
g1_model129,8.6063
g1_model935,9.8123
g1_model307,8.7903
g1_model760,9.3544
g1_model608,9.1211
g1_model275,8.7464
g1_model934,9.8117
g1_model821,9.4932
g1_model540,9.0547
g1_model501,9.007
g1_model41,8.5374
g1_model24,8.5184
g1_model507,9.013
g1_model424,8.9056
g1_model838,9.5225
g1_model455,8.9496
g1_model338,8.8136
g1_model964,9.9368
g1_model865,9.5981
g1_model560,9.0825
g1_model102,8.5864
g1_model789,9.4158
g1_model584,9.1005
g1_model904,9.7191
g1_model925,9.7869
g1_model221,8.6912
g1_model494,8.9956
g1_model343,8.8221
g1_model517,9.0304
g1_model669,9.2123
g1_model1003,10.3111
g1_model177,8.6475
g1_model505,9.0099
g1_model1002,10.2919
g1_model525,9.0391
g1_model750,9.3413
g1_model355,8.8329
g1_model886,9.6682
g1_model537,9.0531
g1_model668,9.212
g1_model942,9.8399
g1_model775,9.3937
g1_model719,9.2863
g1_model282,8.7515
g1_model786,9.4132
g1_model796,9.4396
g1_model133,8.6131
g1_model890,9.6828
g1_model566,9.0872
g1_model801,9.4545
g1_model648,9.1812
g1_model276,8.7474
g1_model213,8.6846
g1_model485,8.9879
g1_model519,9.0319
g1_model30,8.5272
g1_model324,8.8071
g1_model816,9.4869
g1_model87,8.5724
g1_model323,8.8063
g1_model3,8.5039
g1_model855,9.5578
g1_model1009,10.4261
g1_model225,8.6977
g1_model119,8.5996
g1_model79,8.5633
g1_model981,10.025
g1_model204,8.6777
g1_model71,8.5566
g1_model37,8.5336
g1_model451,8.9404
g1_model915,9.753
g1_model514,9.0261
g1_model709,9.2699
g1_model892,9.6856
g1_model163,8.6371
g1_model804,9.458
g1_model328,8.8086
g1_model554,9.067
g1_model75,8.5582
g1_model0,8.5004
g1_model17,8.5121
g1_model259,8.7343
g1_model173,8.644
g1_model984,10.0509
g1_model802,9.4555
g1_model55,8.5476
g1_model478,8.9776
g1_model232,8.7056
g1_model707,9.2682
g1_model512,9.0212
g1_model970,9.9554
g1_model143,8.6187
g1_model823,9.4967
g1_model961,9.9331
g1_model28,8.5266
g1_model936,9.8149
g1_model362,8.8409
g1_model423,8.9055
g1_model585,9.1007
g1_model219,8.689
g1_model86,8.5693
g1_model502,9.0076
g1_model526,9.0409
g1_model241,8.714
g1_model285,8.76
g1_model413,8.8963
g1_model420,8.902
g1_model376,8.8578
g1_model414,8.8966
g1_model59,8.5497
g1_model761,9.3551
g1_model167,8.6388
g1_model820,9.493
g1_model862,9.5876
g1_model967,9.9532
g1_model42,8.5381
g1_model683,9.2303
g1_model511,9.0207
g1_model458,8.9557
g1_model287,8.7605
g1_model156,8.6325
g1_model541,9.0567
g1_model274,8.7464
g1_model793,9.4241
g1_model835,9.5179
g1_model859,9.572
g1_model135,8.6144
g1_model415,8.8973
g2_model64,8.5534
g2_model341,8.8188
g2_model462,8.96
g2_model21,8.5161
g2_model790,9.4172
g2_model136,8.6149
g2_model727,9.3015
g2_model671,9.2159
g2_model152,8.6258
g2_model636,9.1588
g2_model345,8.8224
g2_model847,9.5474
g2_model8,8.5072
g2_model819,9.4885
g2_model930,9.7996
g2_model248,8.7219
g2_model52,8.5469
g2_model53,8.547
g2_model313,8.799
g2_model382,8.8625
g2_model217,8.687
g2_model974,9.9761
g2_model170,8.6434
g2_model836,9.5193
g2_model991,10.1084
g2_model705,9.2629
g2_model860,9.5808
g2_model269,8.742
g2_model498,9.0025
g2_model736,9.3176
g2_model741,9.3319
g2_model908,9.7372
g2_model216,8.6869
g2_model168,8.6406
g2_model159,8.6337
g2_model279,8.7495
g2_model284,8.753
g2_model536,9.0515
g2_model409,8.8941
g2_model787,9.4154
g2_model193,8.6637
g2_model1,8.5014
g2_model749,9.3399
g2_model792,9.4196
g2_model953,9.8897
g2_model561,9.0833
g2_model442,8.929
g2_model236,8.71
g2_model812,9.4738
g2_model418,8.8991
