,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,tot_flux,peak_flux,brightest_pix,max_loc,elongation,detection_size,dist,nx,ny,n_vel,nx_kpc,ny_kpc,file,true_positive_mocks,hi_mass,asymmetry,overlap_area,area_gt,mos_name
19,20,15.5625,251.78125,289.90625,13,251,288,19,254,293,32,212.27825927734375,212.27825927734375,10.329635620117188,"[13, 252, 289]",11.566879593418111,90,467.88050791251646,3,5,46.375738685062146,40.83027793662345,68.05046353480736,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1528369858367778.5,,,,1245mosH
20,21,16.509933774834437,325.21854304635764,489.0629139072848,13,323,483,21,329,496,302,988.685546875,988.685546875,10.296242713928223,"[16, 328, 484]",6.541834842969761,624,467.74464960467947,6,13,61.83431824674954,81.63684474643362,176.8798369192459,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,7470172214761743.0,,,,1245mosH
21,22,14.52,366.64,369.44,13,365,367,17,369,373,50,161.40277099609375,161.40277099609375,4.6349334716796875,"[16, 367, 368]",2.749241887134242,96,468.01637399133807,4,6,30.91715912337477,54.456179426218824,81.68426960011439,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1278987870375941.5,,,,1245mosH
22,23,14.0,59.0,372.5,14,59,372,15,60,374,2,17.070911407470703,17.070911407470703,8.638958930969238,"[14, 59, 372]",inf,2,468.01637399133807,1,2,7.7292897808436924,13.614044798956437,27.228089620952183,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,141422098192402.3,,,,1245mosH
23,24,16.558823529411764,82.76470588235294,415.1764705882353,14,81,412,21,86,419,68,159.8837890625,159.8837890625,8.514690399169922,"[16, 85, 416]",3.6789344523253473,245,467.74464960467947,5,7,54.10502846590584,68.03070374429032,95.24298588673251,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1380602907496136.0,,,,1245mosH
24,25,15.081632653061224,86.6734693877551,395.83673469387753,14,85,391,17,89,401,49,382.4360046386719,382.4360046386719,10.642274856567383,"[16, 87, 399]",21.97950306601578,120,467.88050791251646,4,10,23.187869342531073,54.440370689650166,136.10092994869225,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,3441848569394460.0,,,,1245mosH
25,26,14.0,89.0,380.0,14,89,379,15,90,382,3,34.33282470703125,34.33282470703125,12.791522026062012,"[14, 89, 380]",inf,3,468.01637399133807,1,3,7.7292897808436924,13.614044798956437,40.842134489026535,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,321525661224263.8,,,,1245mosH
26,27,15.0,127.7,455.6,14,127,455,17,129,458,10,18.631181716918945,18.631181716918945,3.329742431640625,"[16, 128, 456]",1.0,18,467.88050791251646,2,3,23.187869342531073,27.220185252694606,40.83027793662345,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,181091113661459.84,,,,1245mosH
27,28,14.5,139.0,515.0,14,139,515,16,140,516,2,9.094419479370117,9.094419479370117,4.566462516784668,"[15, 139, 515]",,2,468.01637399133807,1,1,15.458579561687385,13.614044798956437,13.614044798956437,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,91720354053254.25,,,,1245mosH
28,29,16.083333333333332,141.95238095238096,493.17857142857144,14,141,479,20,144,506,168,942.9927368164062,942.9927368164062,9.46319580078125,"[15, 143, 479]",47.54833982856125,486,467.74464960467947,3,27,46.375738685062146,40.81842206236672,367.36587316533706,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,9969701030311130.0,,,,1245mosH
29,30,14.0,141.0,503.5,14,141,503,15,142,505,2,12.09097671508789,12.09097671508789,6.485640525817871,"[14, 141, 504]",inf,2,468.01637399133807,1,2,7.7292897808436924,13.614044798956437,27.228089620952183,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,130651786997015.28,,,,1245mosH
30,31,14.0,144.0,172.0,14,144,172,15,145,173,1,9.49420166015625,9.49420166015625,9.49420166015625,"[14, 144, 172]",,1,468.01637399133807,1,1,7.7292897808436924,13.614044798956437,13.614044798956437,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,106011475129808.64,,,,1245mosH
31,32,16.66304347826087,144.92391304347825,467.14130434782606,14,143,463,20,148,471,92,534.0497436523438,534.0497436523438,9.128880500793457,"[16, 144, 468]",2.3291925465838506,240,467.74464960467947,5,8,46.375738685062146,68.03070374429032,108.84912718821296,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,6148722247706904.0,,,,1245mosH
32,33,15.2,187.85,354.75,14,187,353,18,190,357,20,75.520263671875,75.520263671875,4.595543384552002,"[16, 189, 356]",3.0,48,467.88050791251646,3,4,30.91715912337477,40.83027793662345,54.440370689650166,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,897160929151405.8,,,,1245mosH
33,34,15.631578947368421,222.68421052631578,498.4736842105263,14,222,497,18,224,501,19,95.66861724853516,95.66861724853516,5.663183212280273,"[17, 222, 500]",6.8541019662496865,32,467.88050791251646,2,4,30.91715912337477,27.220185252694606,54.440370689650166,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1170958105114213.5,,,,1245mosH
34,35,16.12676056338028,227.46478873239437,125.84507042253522,14,226,124,20,231,128,71,153.11912536621094,153.11912536621094,17.207521438598633,"[16, 229, 125]",1.9760000000000002,120,467.74464960467947,5,4,46.375738685062146,68.03070374429032,54.424562857276655,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1928193226961131.5,,,,1245mosH
35,36,14.0,243.0,351.5,14,243,351,15,244,353,2,11.223760604858398,11.223760604858398,6.120087623596191,"[14, 243, 351]",inf,2,468.01637399133807,1,2,7.7292897808436924,13.614044798956437,27.228089620952183,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,145537070055174.0,,,,1245mosH
36,37,15.625,290.32142857142856,345.5357142857143,14,289,343,19,293,349,56,130.95327758789062,130.95327758789062,4.418384075164795,"[16, 292, 345]",1.5675155764998987,120,467.88050791251646,4,6,38.64644890421846,54.440370689650166,81.66055649512764,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1744259328068037.8,,,,1245mosH
37,38,14.0,367.0,377.0,14,367,377,15,368,378,1,5.1784210205078125,5.1784210205078125,5.1784210205078125,"[14, 367, 377]",,1,468.01637399133807,1,1,7.7292897808436924,13.614044798956437,13.614044798956437,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,70878364104438.88,,,,1245mosH
38,39,14.0,396.0,396.0,14,396,396,15,397,397,1,11.249895095825195,11.249895095825195,11.249895095825195,"[14, 396, 396]",,1,468.01637399133807,1,1,7.7292897808436924,13.614044798956437,13.614044798956437,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,158032282049585.53,,,,1245mosH
39,40,16.61111111111111,184.94444444444446,376.8333333333333,15,184,375,19,187,380,18,65.95829772949219,65.95829772949219,4.1868438720703125,"[17, 185, 376]",8.958559335345242,60,467.74464960467947,3,5,30.91715912337477,40.81842206236672,68.03070374429032,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,949254301128958.1,,,,1245mosH
40,41,15.0,242.0,347.0,15,242,346,16,243,349,3,16.740324020385742,16.740324020385742,5.815021991729736,"[15, 242, 347]",inf,3,467.88050791251646,1,3,7.7292897808436924,13.610092614830993,40.83027793662345,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,247081755941974.72,,,,1245mosH
41,42,15.142857142857142,264.7142857142857,173.14285714285714,15,264,172,17,266,176,7,55.05449676513672,55.05449676513672,8.182726860046387,"[15, 265, 172]",,16,467.88050791251646,2,4,15.458579561687385,27.220185252694606,54.440370689650166,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,832405709156621.2,,,,1245mosH
42,43,16.0,59.0,372.5,16,59,372,17,60,374,2,17.36692237854004,17.36692237854004,8.800792694091797,"[16, 59, 372]",inf,2,467.74464960467947,1,2,7.7292897808436924,13.606140656754336,27.212281336534602,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,268685638096903.34,,,,1245mosH
43,44,16.0,89.0,381.0,16,89,380,17,90,383,3,35.384483337402344,35.384483337402344,13.04274845123291,"[16, 89, 380]",inf,3,467.74464960467947,1,3,7.7292897808436924,13.606140656754336,40.81842206236672,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,560168466684446.06,,,,1245mosH
44,45,16.0,143.25,184.75,16,143,184,17,145,187,4,40.46175765991211,40.46175765991211,12.52895736694336,"[16, 144, 184]",6.0,6,467.74464960467947,2,3,7.7292897808436924,27.212281336534602,40.81842206236672,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,655104205493671.4,,,,1245mosH
45,46,16.0,144.0,172.5,16,144,172,17,145,174,2,18.714235305786133,18.714235305786133,9.694890022277832,"[16, 144, 172]",inf,2,467.74464960467947,1,2,7.7292897808436924,13.606140656754336,27.212281336534602,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,309729842491124.75,,,,1245mosH
46,47,18.0,68.0,288.0,18,68,288,19,69,289,1,0.726251482963562,0.726251482963562,0.726251482963562,"[18, 68, 288]",,1,467.4729562992917,1,1,7.7292897808436924,13.598237418669775,13.598237418669775,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,12267559974605.006,,,,1245mosH
47,48,18.0,68.0,290.0,18,68,290,19,69,291,1,-0.01444289367645979,-0.01444289367645979,-0.01444289367645979,"[18, 68, 290]",,1,467.4729562992917,1,1,7.7292897808436924,13.598237418669775,13.598237418669775,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,-249154509085.09384,,,,1245mosH
48,49,29.832535885167463,2.0191387559808613,1720.4832535885168,23,0,1718,37,6,1724,209,344.98785400390625,344.98785400390625,7.062826633453369,"[27, 1, 1720]",2.2253366793682656,504,465.97919845914623,6,6,108.21005693181168,81.32871538312156,81.32871538312156,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,6038510875550367.0,,,,1245mosH
49,50,28.660714285714285,153.78571428571428,152.125,26,153,150,33,156,155,56,114.99349212646484,114.99349212646484,3.3915810585021973,"[28, 153, 151]",2.2632762845435095,105,466.11495580482654,3,5,54.10502846590584,40.67620444553019,67.7936743818264,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,2055009524755363.8,,,,1245mosH
50,51,29.012244897959185,225.40816326530611,301.0897959183674,26,223,289,33,229,313,245,292.6822204589844,292.6822204589844,2.770324230194092,"[28, 225, 306]",53.444403106185355,1008,465.97919845914623,6,24,54.10502846590584,81.32871538312156,325.31491108078524,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,5332077974138208.0,,,,1245mosH
51,52,28.54255319148936,318.1595744680851,480.8191489361702,26,316,479,32,321,484,94,78.49049377441406,78.49049377441406,1.568395733833313,"[28, 320, 482]",1.9753664400499928,150,466.11495580482654,5,5,46.375738685062146,67.7936743818264,67.7936743818264,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1458784107788331.8,,,,1245mosH
