,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type,mos_name,z_pos,x_pos,y_pos
19,20,459.56289387446435,743.3361482228385,221.55192840937733,445,710,209,475,762,236,7934,21.35099220275879,1.4878577134876003,231.87869342531081,52,27,7,36,8,"[452, 746, 217]",69.11692851742568,104.54763979513515,54.28432119270627,"[15.589515978043444, 0.1496893662296808]",real,1245mosC,460,736,222
20,21,447.5,139.0,49.0,446,139,49,450,140,50,4,-0.8901386857032776,,30.917159123374766,1,1,0,0,0,"[446, 139, 49]",70.4854925395157,2.05033991637061,2.05033991637061,"[-0.008260380178917198, -0.008260380178917196]",real,1245mosC,448,139,49
21,22,481.4913940319972,639.7336868596083,625.0275031457846,454,599,590,521,681,656,44504,20.840618133544922,13.863669215864567,517.8624153165273,82,66,57,46,50,"[511, 645, 640]",66.61012808516841,158.8843320423573,127.88242574290926,"[71.07408998208912, 0.362454888739587]",real,1245mosC,487,640,623
22,23,458.0,161.0,472.0,458,161,472,459,162,473,1,0.3852101266384125,,7.7292897808436924,1,1,0,0,0,"[458, 161, 472]",69.23094265229328,2.0138465385395863,2.0138465385395863,"[0.00031355663273737854, 0.00031355663273737854]",real,1245mosC,458,161,472
23,24,464.6179775280899,637.9213483146068,641.0674157303372,460,636,639,470,641,644,89,2.0632369518280034,1.2111801242236029,77.29289780843692,5,5,9,3,2,"[469, 639, 641]",68.54694744036843,9.969749686783995,9.969749686783995,"[-0.06539726247583873, 0.0]",real,1245mosC,465,638,641
24,25,479.36666666666673,654.9641975308642,565.5246913580247,470,644,559,491,666,574,1620,4.852235317230225,4.314936349316477,162.31508539771752,22,15,11,10,7,"[481, 654, 566]",66.83789968934754,42.77319207978932,29.16353792395326,"[0.9279257391254272, 0.03813824973982526]",real,1245mosC,480,655,566
25,26,486.90403514857206,536.9961845300035,467.2602613018846,474,521,452,499,555,482,8649,8.605123519897461,2.9894070708061022,193.23224452109227,34,30,17,13,17,"[491, 534, 469]",66.0408034270898,65.31569230340321,57.63148904756627,"[5.378022263700071, 0.045436514072972646]",real,1245mosC,486,538,467
26,27,490.89123679303907,692.5104619846695,791.2707685933293,479,680,783,503,706,802,4827,12.24300479888916,2.7664225457249856,185.50295474024855,26,19,17,12,7,"[496, 692, 790]",65.58545100358478,49.60289998618571,36.24826984628618,"[4.624848799859865, 0.1286446995865232]",real,1245mosC,491,693,792
27,28,497.7080673244341,11.398723157283806,547.8554846198491,488,2,541,508,22,553,1723,8.134784698486326,3.2795438380500417,154.58579561687384,20,12,13,8,8,"[501, 10, 549]",64.78881367544723,37.69260906794531,22.61556380779628,"[1.4002426262675984, 0.054484655484931525]",real,1245mosC,498,12,547
28,29,501.4539748953975,201.9581589958159,725.2092050209205,497,193,718,507,211,732,478,8.259986877441406,7.440545624674232,77.29289780843692,18,14,6,9,8,"[503, 202, 726]",64.3337233867654,33.68506268848569,26.1994922562802,"[0.4742411142723328, 0.024459146419997718]",real,1245mosC,502,202,725
29,30,511.20953924519563,14.839546191247974,707.4093540171336,498,5,697,530,26,716,4319,9.65119743347168,1.8257617737007712,247.33727298699813,21,19,10,8,11,"[508, 13, 708]",63.19641438678619,38.60449846371148,34.92787877428395,"[3.8858689890937734, 0.13016186618202583]",real,1245mosC,514,15,706
30,31,508.4025374855825,976.040369088812,1094.441753171857,498,970,1090,518,982,1100,867,5.038348197937012,1.621112546551294,154.58579561687384,12,10,15,6,4,"[513, 976, 1094]",63.53754459651099,22.178788474369718,18.482323499269494,"[0.6544979566806481, 0.038915507813301366]",real,1245mosC,508,976,1095
31,32,512.4847104749512,341.93754066363044,927.8770331815224,503,334,922,525,350,933,1537,5.825765132904053,2.4981613102281384,170.04437517856124,16,11,7,7,6,"[510, 341, 928]",63.08271621636061,29.360032139184217,20.185021327100404,"[0.9673263032546037, 0.044753813682265386]",real,1245mosC,514,342,927
32,33,525.0762481089258,642.2786686838124,637.2590015128593,503,635,626,542,651,646,3305,2.6057772636413574,1.7383074594368912,301.442301452904,16,20,19,8,17,"[522, 643, 643]",61.60518118657706,28.67235604400104,35.84044651068478,"[9.781370395066702, 0.3054209652851214]",real,1245mosC,522,643,636
33,34,504.0,7.0,544.0,504,7,544,505,8,545,1,-2.041555404663086,,7.7292897808436924,1,1,0,0,0,"[504, 7, 544]",63.99246818996253,1.8614654895601332,1.8614654895601332,"[-0.0020697310195530215, -0.0020697310195530215]",real,1245mosC,504,7,544
34,35,513.4160170092133,331.5690999291283,631.6009922041105,504,325,626,524,340,638,1411,7.46286153793335,2.242466201324933,154.58579561687384,15,12,4,5,4,"[508, 330, 630]",62.969023994897526,27.475422295506363,21.9803373342355,"[1.1680073379801599, 0.0461176135482029]",real,1245mosC,514,332,632
35,36,511.4147880973849,686.5599639314697,966.0622182146077,504,678,961,522,695,973,1109,5.024487495422363,2.9493713203307097,139.12721605518644,17,12,11,10,6,"[515, 688, 967]",63.19641438678619,31.25125932129295,22.059711559897337,"[0.7623383956297294, 0.029535651026851618]",real,1245mosC,513,686,967
36,37,564.0526315789474,440.4210526315789,1140.328947368421,563,437,1138,566,445,1143,76,12.916114807128904,2.890534448720691,23.187869342531076,8,5,1,4,2,"[564, 441, 1140]",57.17859810252045,13.306064543047409,8.316290247924822,"[0.7633620517732373, 0.05999686470912016]",real,1245mosC,564,441,1140
37,38,575.5820633059789,910.5668229777257,1474.7051582649472,568,902,1468,584,920,1482,1706,9.864190101623537,2.3488268954750264,123.66863649349906,18,14,8,8,6,"[576, 910, 1474]",55.931705168006886,29.285775728096553,22.7778247439538,"[1.4484428305195443, 0.05830000037455436]",real,1245mosC,576,911,1475
38,39,628.3333333333334,119.03799654576856,1312.2417962003453,625,112,1308,632,127,1318,579,16.834028244018555,2.33390302211968,54.105028465905846,15,10,3,8,5,"[628, 120, 1313]",49.93397702155973,21.78780960099741,14.525205888554833,"[0.5620387938621754, 0.043708291858851375]",real,1245mosC,628,119,1313
39,40,628.0089285714286,440.3035714285714,1140.3214285714287,627,436,1138,630,446,1145,112,17.181877136230472,2.750891913351921,23.187869342531076,10,7,1,5,2,"[628, 441, 1140]",49.93397702155973,14.525205888554833,10.167643975729744,"[1.1416916139596538, 0.10203448109736954]",real,1245mosC,628,441,1141
