label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
6,20.65096094234346,471.3787972721637,196.37321760694357,11,465,192,31,479,202,1613,0.0004373765841592103,3.039646585498439,154.58579561687384,14,10,5,7,5,"[16, 472, 197]",185.3538899578677,75.48417142635914,53.91726384461872,"[0.00013335154895618813, 5.858431042134698e-06]",mock
7,36.55533097524002,756.8746841839313,154.84840828701365,12,750,150,62,765,160,3958,0.00015546874783467501,2.2955424158881397,386.46448904218454,15,10,4,6,5,"[16, 756, 155]",183.43179097400917,80.03722464938224,53.358147885025254,"[0.00010985660405449617, 5.297223489550669e-06]",mock
8,31.67989918084436,287.887838689351,25.899810964083176,23,281,21,42,296,31,1587,0.00043193463352508843,2.0392995981063438,146.85650583603015,15,10,13,6,5,"[36, 287, 26]",184.0322692383862,80.29923274235138,53.53281994084633,"[0.0001455840400990499, 6.697572529254117e-06]",mock
9,33.67529266789895,636.8361059765866,1238.8515095502157,24,630,1234,44,645,1245,1623,0.0006923582986928523,2.5495587993064968,154.58579561687384,15,11,15,7,6,"[39, 637, 1240]",183.79205855743862,80.19442105113856,58.80924037908548,"[0.00019739361886062355, 8.50809887833702e-06]",mock
10,34.68668012108981,100.84409687184662,1228.8572149344097,25,93,1223,45,110,1235,1982,0.001923760981298983,1.7736596676906886,154.58579561687384,17,12,15,9,5,"[40, 102, 1228]",183.67196290508375,90.82762366337434,64.11361408145801,"[0.000613158401283233, 1.9142895064380815e-05]",mock
11,41.74302184466019,824.8913834951456,40.84466019417476,25,815,36,59,836,47,3296,0.002740040887147188,1.2748725838240802,262.7958525486855,21,11,5,7,5,"[30, 822, 41]",182.83147413488354,111.68540859232682,58.50187541101319,"[0.001753367726682981, 4.999068179412115e-05]",mock
12,35.71328224776501,835.8326947637293,969.8684546615581,26,829,965,46,844,975,1566,0.000505060248542577,3.0369643483607067,154.58579561687384,15,10,5,7,4,"[31, 836, 969]",183.551873710781,80.08962063226221,53.39307853904704,"[0.00013408100146084477, 6.482587353898739e-06]",mock
13,34.68,772.8517647058824,1347.8588235294117,27,766,1343,43,781,1354,1275,0.0012071399250999093,3.0371213888482074,123.66863649349908,15,11,4,7,4,"[31, 773, 1347]",183.67196290508375,80.14201943277186,58.77081252674379,"[0.0002875929337209068, 1.262058117452309e-05]",mock
14,42.685272649205665,529.3404894804637,1383.3671103477886,29,522,1379,57,538,1389,2329,0.0008666105568408966,2.553241356346743,216.42011386362336,16,10,5,6,5,"[34, 528, 1384]",182.71143013236136,85.03776918044585,53.14860339922415,"[0.000473095487211716, 1.881938809456632e-05]",mock
15,52.77227423739052,56.40471156750227,141.3832678948958,33,49,137,74,64,147,3311,0.00020775964367203414,2.2818732309517538,316.9008810145914,15,10,35,8,4,"[68, 57, 141]",181.5113449850127,79.19927193555797,52.799512762171354,"[0.00012413642673543597, 5.645609361670763e-06]",mock
16,46.677471636953,189.39816315505132,710.3743922204214,38,181,705,56,199,717,1851,0.0026643122546374798,1.31201248049922,139.12721605518644,18,12,5,7,5,"[43, 188, 710]",182.23131865592643,95.41610635259904,63.6107343389092,"[0.0007332264435486463, 2.0796394082783765e-05]",mock
17,45.676253687315636,432.35545722713863,654.3532448377581,38,425,650,54,440,660,1356,0.0005619373405352235,2.1243017621998304,123.66863649349908,15,10,11,8,4,"[49, 433, 654]",182.35133684602783,79.56578755930417,53.04385650272074,"[0.00012333927143592932, 5.500473477778424e-06]",mock
18,53.72826086956522,877.3804347826087,1439.32797731569,41,870,1435,67,885,1445,2116,0.000347810797393322,2.0194501034615753,200.96153430193598,15,10,6,8,4,"[47, 878, 1439]",181.39137194662123,79.14692381763022,52.764614018116596,"[0.00012903353428759816, 5.853335176007313e-06]",mock
19,52.70242656449553,258.36590038314176,809.3556832694763,44,251,804,62,267,816,1566,0.002269314369186759,2.3103465678650092,139.12721605518644,16,12,11,8,6,"[55, 259, 810]",181.5113449850127,84.47922413658522,63.35941610091754,"[0.0006040762030336596, 2.0920542475767126e-05]",mock
20,61.7060327198364,795.8926380368098,135.85940695296523,51,789,130,73,804,143,1956,0.001848714891821146,3.3109397652498265,170.04437517856124,15,13,5,7,4,"[56, 796, 134]",180.43181972974293,78.72824014269415,68.23114037929214,"[0.0007797865173824579, 2.4161744886989355e-05]",mock
