label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
15,44.6862356207854,722.9765965886553,278.9670765569219,24,717,275,66,730,284,2521,0.0002700084587559104,2.5543478260869565,324.63017079543505,13,9,4,5,4,"[28, 722, 279]",463.9437693002821,175.44251617392132,121.4602004902975,"[0.00029133984598715733, 1.6523631457234623e-05]",mock
16,39.65079365079365,513.960591133005,261.9408866995074,26,508,258,55,521,267,1827,0.00034813943784683943,2.4879342394956057,224.14940364446707,13,9,3,7,3,"[29, 515, 261]",464.6220517837284,175.6990118819076,121.63777443757283,"[0.00018301832348419883, 8.908774653755786e-06]",mock
17,34.69124423963134,52.99308755760369,246.95276497695852,28,47,243,42,60,251,868,9.184930240735412e-05,3.262979011594125,108.21005693181168,13,8,5,6,4,"[33, 53, 247]",465.30052814230453,175.95558090468518,108.28035427302015,"[1.771326220100064e-05, 1.019624499282903e-06]",mock
18,36.68696581196581,841.9626068376068,705.9241452991453,30,836,702,44,849,710,936,9.567803499521688e-05,3.262979011594125,108.21005693181168,13,8,9,6,4,"[39, 842, 706]",465.029114328539,175.85294449578763,108.2171934078768,"[2.7432095395393124e-05, 1.415662326737873e-06]",mock
19,40.71750433275563,78.9471403812825,1083.9523396880415,32,73,1080,50,86,1088,1154,9.939019219018519e-05,3.142972257396109,139.12721605518644,13,8,5,6,4,"[37, 79, 1084]",464.4863797796881,175.6477068761327,108.09089333798347,"[2.1318308905914013e-05, 1.048300654722257e-06]",mock
20,54.80938731637406,701.9702615549982,1108.954138301684,32,696,1106,79,709,1113,2791,2.5512743377476e-05,2.793400286944046,363.2766196996535,13,7,42,6,3,"[74, 702, 1109]",462.5877856264766,174.92974457666074,94.19293619934244,"[1.6165762502389796e-05, 9.110499361378919e-07]",mock
21,42.686142322097375,77.92734082397004,1206.9722846441948,33,72,1204,54,85,1211,1335,0.00010060014756163582,2.6569635336933946,162.31508539771752,13,7,16,6,3,"[49, 78, 1207]",464.21505903396326,175.54510566135198,94.5242844644997,"[2.732836533674033e-05, 1.3353483031095243e-06]",mock
22,47.797901711761455,165.97570403092215,1521.9585864163446,33,160,1518,63,173,1526,1811,0.00010064660455100238,2.4879342394956057,231.87869342531076,13,8,4,6,4,"[37, 166, 1522]",463.5368928357105,175.28865392715798,107.86993768361967,"[3.4324842256083913e-05, 1.7295328068136913e-06]",mock
23,45.68707940780619,460.9327052489906,22.963660834454913,34,455,19,58,468,27,1486,9.02097235666588e-05,2.6569635336933946,185.50295474024858,13,8,5,6,4,"[39, 461, 23]",463.8081360612959,175.39122582733373,107.93305885108923,"[8.860745549429707e-05, 5.378307005267285e-06]",mock
24,46.73305833824396,525.9593400117855,421.96405421331764,34,520,419,61,533,426,1697,0.00022295241069514304,2.3610059854787067,208.69082408277967,13,7,22,5,3,"[56, 525, 422]",463.6725105733269,175.33993841182973,94.4138097954192,"[0.00012279780351093117, 7.100752917226086e-06]",mock
25,40.68770053475936,785.9561497326204,767.9347593582887,34,780,764,48,793,773,935,0.00010183775884797797,3.316086737266768,108.21005693181168,13,9,4,6,4,"[38, 786, 768]",464.4863797796881,175.6477068761327,121.60225558830257,"[2.230466919425087e-05, 1.0863960262659386e-06]",mock
26,41.7113783533765,947.959296947271,415.9555966697502,34,942,412,51,955,421,1081,0.0001422142522642389,3.3703971610653936,131.39792627434275,13,9,5,6,4,"[39, 948, 416]",464.3507155299885,175.59640480269817,121.56673876911404,"[9.833197146850666e-05, 3.953066670722873e-06]",mock
27,53.70876048462255,693.9324324324324,1142.950605778192,37,687,1139,72,702,1147,2146,0.0003404261660762131,2.5543478260869565,270.5251423295292,15,8,3,8,4,"[40, 695, 1143]",462.7233491302215,201.901166903493,107.68061745869186,"[0.00016028768210301473, 7.576209273496561e-06]",mock
28,45.67850098619329,951.9674556213017,1231.9506903353058,38,946,1228,54,959,1237,1014,0.00010254583321511745,3.3703971610653936,123.66863649349908,13,9,5,6,4,"[43, 952, 1232]",463.8081360612959,175.39122582733373,121.42469178969515,"[5.4116061101078266e-05, 3.4963938776226885e-06]",mock
29,50.71285140562249,216.94444444444446,1168.966532797858,39,211,1166,63,224,1173,1494,0.00012346281437203288,2.3,185.50295474024858,13,7,19,6,3,"[58, 217, 1169]",463.13008611833465,175.1348180556244,94.30336037658542,"[3.313898380823394e-05, 1.59022029471866e-06]",mock
30,53.70977011494253,124.96149425287356,768.9522988505747,40,119,765,68,132,774,1740,0.0003248948778491467,2.4879342394956057,216.42011386362336,13,9,24,6,3,"[64, 125, 768]",462.7233491302215,174.98100855253918,121.14069522188636,"[9.22307529086635e-05, 4.630719880634107e-06]",mock
31,58.771443246019516,819.9558294812532,1090.9470980996405,43,814,1088,75,827,1095,1947,8.420796075370163e-05,2.4879342394956057,247.33727298699816,13,7,4,6,3,"[47, 820, 1091]",462.0456090552628,174.7247179588709,94.08253725503836,"[5.339860794515538e-05, 2.948579021588566e-06]",mock
32,53.691756272401435,796.9426523297491,250.95250896057348,46,791,247,63,804,256,1116,0.00044475545291788876,3.288067169700886,131.39792627434275,13,9,12,6,3,"[58, 797, 250]",462.7233491302215,174.98100855253918,121.14069522188636,"[0.00031377720769317245, 1.5098853185623013e-05]",mock
33,54.69834710743802,381.96487603305786,853.9390495867768,48,376,850,63,389,858,968,0.00013073939771857113,3.190287081270957,115.93934671265538,13,8,4,6,4,"[52, 382, 854]",462.5877856264766,174.92974457666074,107.6490703975471,"[2.1600067407724205e-05, 1.0083131512654202e-06]",mock
34,55.695108077360636,912.9579067121729,130.93174061433447,49,907,127,63,920,136,879,0.0001462576910853386,3.262979011594125,108.21005693181168,13,9,6,6,4,"[55, 913, 131]",462.45222986777213,174.87848352960575,121.06971636161727,"[5.7354163686268655e-05, 2.3944525284407293e-06]",mock
35,63.656219392752206,34.93437806072478,781.9549461312439,56,29,778,72,42,786,1021,8.331516437465325e-05,3.142972257396109,123.66863649349908,13,8,4,6,4,"[60, 35, 782]",461.36806253995326,174.46850056069343,107.36522793458876,"[1.760492379128708e-05, 9.435468073925418e-07]",mock
36,61.695322376738304,545.9873577749684,1056.962073324905,56,540,1053,69,553,1062,791,0.00013521361688617617,3.083996555113793,100.48076715096799,13,9,7,6,4,"[63, 546, 1057]",461.63905792422634,174.57097873851245,120.85682843460593,"[1.551765991570314e-05, 7.995058142601995e-07]",mock
37,60.68685376661743,751.9675036927622,1332.936484490399,56,746,1329,67,759,1338,677,0.000125599792227149,3.210144927536232,85.02218758928062,13,9,5,6,4,"[61, 752, 1333]",461.7745672266255,174.62222221789733,120.89230468868416,"[2.730262013601114e-05, 1.2486830110963624e-06]",mock
38,86.7517026106697,380.44523269012484,1238.4526106696935,57,374,1234,118,388,1244,3524,0.00032546554575674236,2.866739760143284,471.48667663146523,14,10,7,7,5,"[64, 381, 1239]",458.2538392697234,186.62090862018488,133.30064540502192,"[0.00017561241681284532, 7.465873948382681e-06]",mock
39,62.699588477366255,920.9807956104253,749.8971193415638,57,915,746,69,928,754,729,0.0001119283915613778,2.7556766575840146,92.75147737012429,13,8,6,6,4,"[63, 921, 750]",461.50355636222326,174.51973818619473,107.3967587801173,"[2.0496720002531193e-05, 1.1622569458937695e-06]",mock
40,70.68179271708684,33.94621848739496,608.9417366946778,58,28,604,84,41,615,1785,0.001077165361493826,3.6332291032621895,200.96153430193598,13,11,22,6,6,"[80, 34, 610]",460.4198224408797,174.1099191119774,147.3237757155839,"[0.0006005170069615914, 2.3344514639424723e-05]",mock
41,67.69474727452923,499.94350842418237,20.9603567888999,60,494,17,76,507,26,1009,0.00030477152904495597,3.0119684619527782,123.66863649349908,13,9,4,6,4,"[64, 500, 21]",460.8261646349358,174.26357932183507,120.64401345911149,"[0.00017436027253458014, 7.868492004614345e-06]",mock
42,67.65377176015474,546.9294003868472,1381.9506769825919,60,541,1378,76,554,1387,1034,0.00020794289594050497,3.142972257396109,123.66863649349908,13,9,11,6,4,"[71, 547, 1382]",460.8261646349358,174.26357932183507,120.64401345911149,"[3.955508864208418e-05, 1.96195116196448e-06]",mock
43,69.6679462571977,302.93761996161226,435.9587332053743,62,297,432,78,310,440,1042,6.435788964154199e-05,3.0119684619527782,123.66863649349908,13,8,4,6,4,"[66, 303, 436]",460.55526210358533,174.16113625678494,107.1760806762468,"[2.3054814809631628e-05, 1.1625783218518724e-06]",mock
44,75.71667662881052,682.4387328153018,264.4512851165571,63,677,261,89,689,269,1673,0.0001942925591720268,2.6596899368774523,200.96153430193598,12,8,22,5,4,"[85, 682, 265]",459.7427401305519,160.48050095002498,106.98699821926802,"[9.558269504757274e-05, 4.771321492412569e-06]",mock
45,77.6501256281407,382.4604271356784,505.4472361809045,66,377,501,90,389,511,1592,0.00040125075611285865,3.0330059611981124,185.50295474024858,12,10,4,5,4,"[70, 382, 505]",459.4719613288823,160.38598131122384,133.654982767316,"[0.00020948070104517263, 8.900325193565465e-06]",mock
46,75.68775020016012,631.4323458767013,168.43074459567654,67,625,165,85,639,173,1249,0.0001708784548100084,2.466315545489746,139.12721605518644,14,8,14,6,3,"[81, 631, 168]",459.7427401305519,187.22725385438082,106.98699821926802,"[5.017419471207672e-05, 2.445272903142436e-06]",mock
47,80.6902356902357,811.4584736251403,1025.4579124579125,67,805,1022,95,818,1030,1782,0.0001572921173647046,3.06508493353028,216.42011386362336,13,8,4,6,3,"[71, 811, 1025]",459.06585109817763,173.59790848717842,106.82947898213835,"[7.828683236915215e-05, 3.767149567644073e-06]",mock
48,75.6639566395664,954.449864498645,911.420054200542,71,948,907,82,962,917,738,0.0010326731717213988,2.6240145571698625,85.02218758928062,14,10,5,6,4,"[76, 954, 911]",459.7427401305519,187.22725385438082,133.73374913200612,"[0.0001769403430425594, 8.255826272690513e-06]",mock
