label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
11,356.7151664611591,181.17385943279902,1498.8520345252775,347,176,1494,365,187,1505,811,3.942490816116333,1.5555804275848304,139.12721605518644,11,11,13,5,5,"[360, 181, 1499]",211.2219232843375,67.58616752681563,67.58616752681563,"[0.5668882412231594, 0.03978641857927664]",real
12,364.23941068139965,247.75629220380603,680.1111111111111,351,242,675,378,255,688,1629,4.500066757202148,1.9184320793268783,208.69082408277967,13,13,25,6,3,"[376, 248, 678]",210.24950566200138,79.50683841125185,79.50683841125185,"[1.0037426748064504, 0.03741505351396848]",real
13,372.547261009667,152.4312567132116,1320.2894736842106,360,145,1315,386,162,1327,1862,5.507194519042969,2.531073490948207,200.96153430193598,17,12,23,7,2,"[383, 152, 1317]",209.27750877731495,103.48982233209621,73.05163630559936,"[1.057460021967379, 0.024906763915698307]",real
14,375.3116385911179,3.3147013782542114,45.913476263399694,367,0,36,385,10,54,1306,4.792771339416504,2.081011500418015,139.12721605518644,10,18,9,0,11,"[376, 0, 47]",208.9131183612557,60.77036595156583,109.3866656238588,"[0.9667761449689243, 0.040488310924647414]",real
15,374.6938997821351,913.1840958605665,402.9825708061002,368,908,398,385,921,408,918,5.549307346343994,1.7383746328796073,131.39792627434275,13,10,15,4,5,"[383, 912, 403]",209.03457526440403,79.04740677312007,60.80569633440423,"[0.6559559276256388, 0.03253102438380008]",real
16,369.0,3.3333333333333335,34.333333333333336,369,2,33,370,5,36,6,1.313719630241394,2.999999999999999,7.7292897808436924,3,3,0,0,2,"[369, 2, 35]",209.6419583212136,18.294712604342276,18.294712604342276,"[0.002649372047148736, 0.0015481122692345653]",real
17,385.0654664484452,201.379705400982,948.6628477905074,370,197,945,395,207,954,611,4.085214614868164,2.0129472579294663,193.23224452109227,10,9,17,4,4,"[387, 201, 949]",207.6989104907442,60.41716718065542,54.37545017119127,"[0.4496247801016207, 0.0297048606700124]",real
18,371.0,2.6666666666666665,34.333333333333336,371,2,34,372,4,36,3,1.404102087020874,3.0000000000000004,7.7292897808436924,2,2,0,1,1,"[371, 3, 35]",209.3989853881445,12.18233945975227,12.18233945975227,"[0.001539862017493899, 0.001595429339461322]",real
19,372.6,937.8,620.6,372,937,620,374,939,622,5,2.762514591217041,3.0000000000000004,15.458579561687385,2,2,1,1,1,"[373, 938, 621]",209.27750877731495,12.175272236829473,12.175272236829473,"[0.007681784297029815, 0.0031646918528794223]",real
20,385.5625,936.7088414634146,619.3170731707318,375,932,615,395,942,624,656,3.8456883430480957,1.576788428322856,154.58579561687384,10,9,8,4,7,"[383, 936, 622]",207.6989104907442,60.41716718065542,54.37545017119127,"[0.3729067894969024, 0.01983749786155462]",real
21,399.5747052518757,168.1421221864952,561.6122186495177,384,157,552,415,181,574,4665,4.6249895095825195,4.84446427168234,239.60798320615444,24,22,23,13,8,"[407, 170, 560]",206.00012190937483,143.81524231806367,131.83063537069862,"[2.225226817154145, 0.03399478289755429]",real
22,404.8877874702617,520.5983346550357,474.3877874702617,387,514,467,425,528,482,2522,4.424083709716797,2.2478191820647546,293.7130116720603,14,15,33,10,3,"[420, 524, 470]",205.39372315854845,83.64526372941076,89.6199261574187,"[1.662335815808802, 0.05807389532960367]",real
23,394.5211267605634,772.5105633802817,1181.9401408450703,389,767,1177,401,781,1189,852,2.1419363021850586,2.288756397916094,92.75147737012429,14,12,5,7,7,"[394, 774, 1184]",206.60668454496394,84.13923439949787,72.11934271324063,"[-0.4277269445542398, 0.0028520357646298422]",real
24,408.76589334136787,928.2759867429949,356.48870141608916,390,916,351,432,937,366,3319,6.5938520431518555,2.659111189108314,324.63017079543505,21,15,37,15,3,"[427, 931, 354]",204.90872211028724,125.17163393943534,89.40830450967299,"[1.6563060553760165, 0.05995523730842143]",real
25,398.09241379310345,42.21103448275862,988.5696551724138,391,36,985,406,50,994,725,3.475102186203003,2.0730999893096818,115.93934671265538,14,9,6,8,2,"[397, 44, 987]",206.12142132358622,83.94161409491343,53.962464453540065,"[0.3353110643190761, 0.02035422119815612]",real
26,408.593165174939,891.1057770545159,97.6381882289124,391,883,90,430,905,104,3687,5.019491672515869,1.9497597667576525,301.44230145290396,22,14,6,9,8,"[397, 892, 98]",204.90872211028724,131.1321895269604,83.44775019313032,"[2.6853386595216637, 0.07719983949865972]",real
27,409.398133748056,805.0163297045101,1286.9082426127527,401,799,1282,420,812,1293,1286,4.040133476257324,1.3214331529209864,146.85650583603015,13,11,12,6,5,"[413, 805, 1287]",204.78748822607358,77.44135085488212,65.52729599006314,"[0.6598448661823995, 0.024059361800088643]",real
28,411.80022962112514,714.6268656716418,669.8805970149253,404,709,666,421,721,675,871,4.63399076461792,2.073569573550288,131.39792627434275,12,9,10,5,4,"[414, 714, 670]",204.54504010735394,71.39969299776162,53.54976879677657,"[0.5066620338384377, 0.02584308467708216]",real
29,419.3271186440678,218.32203389830508,703.5559322033898,410,213,700,428,224,708,590,4.167929649353027,1.6584959142522329,139.12721605518644,11,8,13,6,3,"[423, 219, 703]",203.5755095507211,65.1394906310473,47.37417424276192,"[0.4324380100820895, 0.028088978844742818]",real
30,428.3921568627451,685.9659637439881,329.32556418793934,419,675,322,438,701,337,2703,7.311215877532959,2.6789972267448525,146.85650583603015,26,15,15,8,7,"[434, 683, 329]",202.48528833617658,153.1415481989194,88.35088195292066,"[2.1475197380135502, 0.048902954178967374]",real
31,450.7174698795181,881.8457831325301,105.36807228915663,439,873,101,460,890,112,1660,4.392749786376953,3.569478009555617,162.31508539771752,17,11,19,12,3,"[458, 885, 104]",199.82253250394362,98.81424194889046,63.93862411367189,"[1.4096807838049537, 0.059522197656334146]",real
32,457.0220264317181,753.8002936857563,462.5814977973568,450,749,459,466,761,467,681,4.626380920410156,1.8202425067578474,123.66863649349908,12,8,9,8,3,"[459, 757, 462]",198.97595490903925,69.45571541106798,46.30380922923434,"[0.6104880555655328, 0.03299101594074591]",real
33,460.1355206847361,546.2981455064194,722.5049928673324,451,538,719,472,553,729,701,3.722383499145508,2.2705727049656494,162.31508539771752,15,10,7,8,4,"[458, 546, 723]",198.6132338203207,86.66137930185552,57.77425083097712,"[0.3508595044510737, 0.021692158801904553]",real
34,469.6792304672163,147.92186886533176,520.6126815861799,454,136,513,487,161,529,5094,6.318624019622803,2.4355305097153575,255.06656276784182,25,16,7,14,7,"[461, 150, 520]",197.52542274348917,143.64456976781096,91.93251508327918,"[2.9624582899713614, 0.043111440336374464]",real
35,465.0871694417238,505.6062683643487,817.690499510284,457,499,813,473,513,823,1021,4.006669998168945,2.231783418874708,123.66863649349908,14,10,14,2,4,"[471, 501, 817]",198.0088291270214,80.63781345594741,57.598436623220536,"[0.4866581109955927, 0.023397420281329597]",real
36,478.49520586576426,95.19345741680768,414.65820642978,465,89,409,492,104,421,1773,5.050877571105957,1.644306624608955,208.69082408277967,15,12,23,6,7,"[488, 95, 416]",196.43813965149727,85.71231534898627,68.56985071262098,"[1.0967097997343258, 0.042885052536649114]",real
37,480.73512988589465,331.15052197135225,1121.8392813789756,465,319,1116,499,341,1130,4119,4.618419170379639,3.291287096985287,262.7958525486855,22,14,16,11,5,"[481, 330, 1121]",196.1965928495892,125.55682614744381,79.89979196709787,"[2.16358958975997, 0.06020594424518048]",real
38,495.47051715804736,160.88061865635572,1551.39584340261,478,150,1543,514,170,1563,4138,6.133387088775635,1.7116584109850344,278.2544321103729,20,20,25,9,4,"[503, 159, 1547]",194.38582189226696,113.08910253612369,113.08910253612369,"[2.949184508450857, 0.06881587059357373]",real
39,510.25752508361205,400.54515050167225,10.695652173913043,506,397,8,517,406,14,299,4.078335762023926,2.8247711344215314,85.02218758928062,9,6,5,7,3,"[511, 404, 11]",192.57651447855324,50.41641596688544,33.610943551320304,"[0.13276863282551424, 0.011420578445345194]",real
40,534.6164199192463,383.3028263795424,160.89636608344549,522,375,156,551,392,167,2229,5.417263507843018,2.908620316796567,224.14940364446707,17,11,21,10,4,"[543, 385, 160]",189.6846623614013,93.80096371365521,60.6947383504663,"[1.7912349416967202, 0.052530008853307844]",real
41,541.2835249042146,795.3532567049808,487.6750957854406,532,789,483,551,803,493,1305,3.9825828075408936,2.3199777811727635,146.85650583603015,14,10,4,6,4,"[536, 795, 487]",188.8419093484129,76.9046447364916,54.9318876100974,"[0.7267567698500866, 0.039262020051773226]",real
42,543.6573780873971,870.1209626345789,940.5028499050031,532,863,933,556,879,947,1579,3.9508719444274902,2.4982622538745782,185.50295474024858,16,14,8,8,8,"[540, 871, 941]",188.6011811056572,87.77898402088908,76.8066097184649,"[0.6667224497151412, 0.022514925327130876]",real
43,544.1229357798165,9.869724770642202,606.2183486238532,533,4,602,556,16,611,1090,4.333356857299805,1.5152646289478258,177.77366495940493,12,9,3,7,4,"[536, 11, 606]",188.48082670372582,65.79222432158356,49.344167364373824,"[0.7704367469595147, 0.04673536880744445]",real
44,544.7143928035982,188.73088455772114,523.6116941529235,535,181,519,555,197,529,1334,5.698913097381592,2.8544820845569174,154.58579561687384,16,10,14,7,6,"[549, 188, 525]",188.48082670372582,87.72296853327633,54.82685292089971,"[0.85740364442057, 0.0348815708534161]",real
45,557.5,872.0,940.0,557,872,940,559,873,941,2,0.31491324305534363,,15.458579561687385,1,1,1,0,0,"[558, 872, 940]",186.91680887123132,5.437189703320119,5.437189703320119,"[0.0004330629266851567, 0.0004330629266851567]",real
46,571.3835091083413,887.2205177372963,815.5254074784276,560,881,810,587,895,821,1043,5.21331787109375,1.772598678370309,208.69082408277967,14,11,23,7,3,"[583, 888, 813]",185.2337051758864,75.43522695215373,59.27053420859822,"[0.7126363985370354, 0.03453462666618536]",real
47,572.4773838630807,563.9364303178484,1245.0048899755502,563,556,1239,582,572,1252,1636,6.4778642654418945,2.488554537233454,146.85650583603015,16,13,11,7,7,"[574, 563, 1246]",185.1135319865354,86.15575825685555,70.00155186595302,"[1.2095650411944974, 0.030156469128220814]",real
48,576.3333333333334,98.88500727802038,831.9090247452693,564,92,828,588,106,837,1374,5.216954231262207,1.780280917212617,185.50295474024858,14,9,21,6,5,"[585, 98, 833]",184.63290386698762,75.19055450959316,48.336783474023704,"[0.8775380244469737, 0.04190078974141161]",real
1,11.431908831908832,53.56638176638177,245.6062678062678,0,47,242,24,61,250,1755,0.0003756613004952669,2.3197940695272794,185.50295474024858,14,8,19,6,3,"[19, 53, 245]",253.56168851531655,103.26135570932918,59.006486779887716,"[0.000116240441837426, 5.4222438156921375e-06]",mock
2,4.399752475247524,122.99257425742574,987.5742574257425,0,117,983,11,130,993,808,0.0012101775500923395,2.6844919786096253,85.02218758928062,13,10,6,6,4,"[6, 123, 987]",254.42901568480593,96.21352770125304,74.01040448367469,"[0.0001442323178800477, 6.3398588538572174e-06]",mock
3,13.56993166287016,170.08291571753986,959.7876993166287,0,163,956,29,178,965,2195,0.00032573696807958186,2.2091929565655186,224.14940364446707,15,9,23,8,4,"[23, 171, 960]",253.31394165477332,110.52906776621037,66.31743796619963,"[0.00011206633907651748, 5.405059658046316e-06]",mock
