method,mos_name,label,type
sofia,1353mosE,88,gal
sofia,1353mosE,89,gal
sofia,1353mosE,90,gal
sofia,1353mosE,91,gal
sofia,1353mosE,92,gal
sofia,1353mosE,93,gal
sofia,1353mosE,94,gal
sofia,1353mosE,95,gal
sofia,1353mosE,100,gal
sofia,1353mosE,102,gal
sofia,1353mosE,104,notsure
sofia,1353mosE,105,gal
sofia,1353mosE,136,gal
sofia,1353mosE,154,gal
sofia,1353mosE,163,notsure
sofia,1353mosF,18,gal
sofia,1353mosF,20,gal
sofia,1353mosF,39,gal
sofia,1353mosF,40,gal
sofia,1353mosF,48,gal
sofia,1353mosF,58,gal
sofia,1353mosF,59,gal
sofia,1353mosF,63,gal
sofia,1353mosG,13,gal
sofia,1353mosG,21,gal
sofia,1353mosG,25,gal
sofia,1353mosG,26,gal
sofia,1353mosG,31,gal
sofia,1353mosG,35,gal
sofia,1353mosG,37,gal
sofia,1353mosG,38,gal
sofia,1353mosG,41,gal
sofia,1353mosG,46,gal
sofia,1353mosG,91,gal
sofia,1353mosG,97,notsure
sofia,1353mosG,100,notsure
sofia,1353mosG,10,notsure
sofia,1353mosG,145,gal
vnet,1245mosB,2,gal
vnet,1245mosB,33,gal
vnet,1245mosB,120,gal
vnet,1245mosB,502,gal
vnet,1245mosB,505,notsure
vnet,1245mosB,506,gal
vnet,1245mosB,507,gal
vnet,1245mosB,508,gal
vnet,1245mosB,509,notsure
vnet,1245mosB,510,notsure
vnet,1245mosB,511,gal
vnet,1245mosB,512,gal
vnet,1245mosB,513,gal
vnet,1245mosB,518,notsure
vnet,1245mosB,519,gal
vnet,1245mosB,520,gal
vnet,1245mosB,521,notsure
vnet,1245mosB,522,notsure
vnet,1245mosC,2,notsure
vnet,1245mosC,164,notsure
vnet,1245mosC,185,notsure
vnet,1245mosC,186,notsure
vnet,1245mosC,188,gal
vnet,1245mosC,204,notsure
vnet,1245mosC,206,gal
vnet,1245mosC,217,notsure
vnet,1245mosC,218,notsure
vnet,1245mosC,219,gal
vnet,1245mosC,220,gal
vnet,1245mosC,229,gal
vnet,1245mosC,235,gal
vnet,1245mosC,237,gal
vnet,1245mosC,261,gal
vnet,1245mosC,264,gal
vnet,1245mosC,266,gal
vnet,1245mosC,267,gal
vnet,1245mosC,275,gal
vnet,1245mosC,281,gal
vnet,1245mosC,282,gal
vnet,1245mosC,283,gal
vnet,1245mosC,287,gal
vnet,1245mosC,293,gal
vnet,1245mosC,294,gal
vnet,1245mosC,297,gal
vnet,1245mosC,308,gal
vnet,1245mosC,317,gal
vnet,1245mosC,318,gal
vnet,1245mosC,321,gal
vnet,1245mosC,325,notsure
vnet,1245mosC,326,gal
vnet,1245mosC,328,gal
vnet,1245mosC,330,gal
vnet,1245mosC,333,gal
vnet,1245mosC,337,gal
vnet,1245mosC,338,gal
vnet,1245mosC,340,gal
vnet,1245mosC,344,gal
vnet,1245mosC,366,gal
vnet,1245mosC,388,gal
vnet,1245mosC,405,gal
vnet,1245mosC,409,gal
vnet,1245mosC,410,notsure
vnet,1245mosC,411,gal
vnet,1245mosC,412,gal
vnet,1245mosD,6,gal
vnet,1245mosD,74,gal
vnet,1245mosD,79,gal
vnet,1245mosD,94,gal
vnet,1245mosD,95,gal
vnet,1245mosD,98,gal
vnet,1245mosD,107,gal
vnet,1245mosD,109,gal
vnet,1245mosD,117,gal
vnet,1245mosD,119,gal
vnet,1245mosD,123,notsure
vnet,1245mosD,127,gal
vnet,1245mosD,128,gal
vnet,1245mosD,129,gal
vnet,1245mosD,133,gal
vnet,1245mosD,147,gal
vnet,1245mosD,209,gal
vnet,1245mosD,249,gal
vnet,1245mosD,248,gal
vnet,1245mosD,257,gal
vnet,1245mosD,274,gal
vnet,1245mosE,67,gal
vnet,1245mosE,67,gal
vnet,1245mosE,78,gal
vnet,1245mosE,84,gal
vnet,1245mosE,85,gal
vnet,1245mosE,91,notsure
vnet,1245mosE,109,gal
vnet,1245mosE,121,gal
vnet,1245mosE,122,gal
vnet,1245mosE,128,gal
vnet,1245mosE,135,gal
vnet,1245mosE,143,gal
vnet,1245mosE,153,gal
vnet,1245mosE,162,gal
vnet,1245mosE,171,gal
vnet,1245mosE,174,notsure
vnet,1245mosE,176,gal
vnet,1245mosE,185,gal
vnet,1245mosE,197,gal
vnet,1245mosF,15,gal
vnet,1245mosF,80,notsure
vnet,1245mosG,1,notsure
vnet,1245mosG,2,gal
vnet,1245mosG,5,gal
vnet,1245mosG,6,notsure
vnet,1245mosG,13,gal
vnet,1245mosG,26,gal
vnet,1245mosG,27,gal
vnet,1245mosG,36,gal
vnet,1245mosG,37,gal
vnet,1245mosG,40,gal
vnet,1245mosG,43,gal
vnet,1245mosG,64,notsure
vnet,1245mosG,66,gal
vnet,1245mosG,75,gal
vnet,1245mosG,77,gal
vnet,1245mosH,195,gal
vnet,1245mosG,232,gal
vnet,1245mosG,234,gal
vnet,1245mosG,239,notsure
vnet,1245mosG,243,notsure
vnet,1245mosG,257,gal
vnet,1353mosB,1,gal
vnet,1353mosB,2,gal
vnet,1353mosB,3,gal
vnet,1353mosB,4,gal
vnet,1353mosB,7,gal
vnet,1353mosB,176,notsure
vnet,1353mosB,272,notsure
vnet,1353mosB,413,gal
vnet,1353mosB,415,gal
vnet,1353mosB,417,gal
vnet,1353mosB,418,gal
vnet,1353mosB,419,gal
vnet,1353mosB,420,gal
vnet,1353mosB,421,gal
vnet,1353mosB,422,gal
vnet,1353mosB,423,gal
vnet,1353mosB,424,gal
vnet,1353mosB,1,gal
vnet,1353mosB,105,gal
vnet,1353mosB,133,gal
vnet,1353mosB,141,gal
vnet,1353mosB,155,gal
vnet,1353mosC,160,gal
vnet,1353mosC,166,gal
vnet,1353mosC,174,gal
vnet,1353mosC,179,gal
vnet,1353mosC,181,gal
vnet,1353mosC,182,gal
vnet,1353mosC,187,gal
vnet,1353mosC,194,gal
vnet,1353mosC,200,gal
vnet,1353mosC,202,gal
vnet,1353mosC,203,gal
vnet,1353mosC,218,gal
vnet,1353mosC,220,gal
vnet,1353mosC,223,gal
vnet,1353mosC,228,gal
vnet,1353mosC,231,gal
vnet,1353mosC,240,gal
vnet,1353mosC,241,gal
vnet,1353mosC,242,gal
vnet,1353mosC,244,gal
vnet,1353mosC,245,gal
vnet,1353mosC,246,gal
vnet,1353mosC,248,gal
vnet,1353mosC,260,gal
vnet,1353mosC,265,gal
vnet,1353mosC,266,gal
vnet,1353mosC,267,gal
vnet,1353mosC,270,gal
vnet,1353mosC,275,gal
vnet,1353mosC,276,gal
vnet,1353mosC,278,gal
vnet,1353mosC,282,gal
vnet,1353mosC,283,gal
vnet,1353mosC,284,gal
vnet,1353mosC,285,gal
vnet,1353mosC,288,gal
vnet,1353mosC,289,gal
vnet,1353mosC,295,gal
vnet,1353mosC,296,gal
vnet,1353mosC,300,gal
vnet,1353mosC,306,gal
vnet,1353mosC,310,gal
vnet,1353mosC,314,gal
vnet,1353mosC,315,gal
vnet,1353mosC,327,gal
vnet,1353mosC,328,gal
vnet,1353mosC,349,gal
vnet,1353mosD,2,gal
vnet,1353mosD,82,gal
vnet,1353mosD,83,gal
vnet,1353mosD,94,gal
vnet,1353mosD,112,gal
vnet,1353mosD,115,gal
vnet,1353mosD,122,gal
vnet,1353mosD,302,gal
vnet,1353mosD,305,gal
vnet,1353mosE,4,gal
vnet,1353mosE,9,gal
vnet,1353mosE,11,notsure
vnet,1353mosE,79,notsure
vnet,1353mosE,92,gal
vnet,1353mosE,114,gal
vnet,1353mosE,125,
vnet,1353mosE,129,gal
vnet,1353mosE,138,gal
vnet,1353mosE,139,gal
vnet,1353mosE,140,gal
vnet,1353mosE,141,gal
vnet,1353mosE,154,gal
vnet,1353mosE,168,gal
vnet,1353mosF,2,notsure
vnet,1353mosF,3,notsure
vnet,1353mosF,4,notsure
vnet,1353mosF,24,gal
vnet,1353mosF,78,notsure
vnet,1353mosF,92,gal
vnet,1353mosG,4,notsure
vnet,1353mosG,18,gal
vnet,1353mosG,32,gal
vnet,1353mosG,54,gal
vnet,1353mosG,60,gal
vnet,1353mosG,78,gal
vnet,1353mosG,95,notsure
vnet,1353mosG,108,gal
vnet,1353mosG,117,gal
vnet,1353mosG,119,notsure
vnet,1353mosG,131,notsure
vnet,1353mosG,147,notsure
vnet,1353mosH,14,notsure
vnet,1353mosH,19,notsure
vnet,1353mosH,26,notsure
vnet,1353mosH,74,notsure
vnet,1353mosH,214,notsure
vnet,1353mosH,221,gal
vnet,1353mosH,223,notsure
vnet,1353mosH,224,gal
vnet,1353mosH,226,gal
vnet,1353mosH,269,notsure
vnet,1353mosH,275,notsure
vnet,1353mosH,284,gal
vnet,1353mosH,286,gal
vnet,1353mosH,288,gal
vnet,1353mosH,291,notsure
vnet,1353mosH,346,notsure
vnet,1353mosH,504,gal
vnet,1353mosH,559,gal
vnet,1353mosH,562,notsure
mto,1245mosB,1,notsure
mto,1245mosB,2,gal
mto,1245mosB,3,gal
mto,1245mosB,868,gal
mto,1245mosB,1098,notsure
mto,1245mosB,1185,notsure
mto,1245mosB,1186,notsure
mto,1245mosB,1187,notsure
mto,1245mosB,1189,gal
mto,1245mosB,1193,notsure
mto,1245mosB,1196,gal
mto,1245mosB,1204,notsure
mto,1245mosB,1245,notsure
mto,1245mosC,122,gal
mto,1245mosB,188,notsure
mto,1245mosC,399,gal
mto,1245mosC,455,notsure
mto,1245mosC,503,notsure
mto,1245mosC,150722,gal
mto,1245mosC,530,notsure
mto,1245mosC,593,gal
mto,1245mosC,613,gal
mto,1245mosC,616,gal
mto,1245mosC,617,gal
mto,1245mosC,619,notsure
mto,1245mosC,628,gal
mto,1245mosC,634,gal
mto,1245mosC,636,gal
mto,1245mosC,641,gal
mto,1245mosC,645,gal
mto,1245mosC,967,gal
mto,1245mosC,971,gal
mto,1245mosC,973,gal
mto,1245mosC,983,gal
mto,1245mosC,988,gal
mto,1245mosC,994,gal
mto,1245mosC,996,gal
mto,1245mosC,999,gal
mto,1245mosC,1003,gal
mto,1245mosC,1004,gal
mto,1245mosC,1021,gal
mto,1245mosC,1044,gal
mto,1245mosC,1048,gal
mto,1245mosC,1049,gal
mto,1245mosC,1054,gal
mto,1245mosC,1055,gal
mto,1245mosC,1056,gal
mto,1245mosC,1068,gal
mto,1245mosC,1072,gal
mto,1245mosC,1073,gal
mto,1245mosC,1074,gal
mto,1245mosC,1075,gal
mto,1245mosC,1080,gal
mto,1245mosC,1166,notsure
mto,1245mosC,1184,gal
mto,1245mosC,1241,gal
mto,1245mosC,1243,gal
mto,1245mosC,1308,gal
mto,1245mosD,1,gal
mto,1245mosD,283,gal
mto,1245mosD,316,gal
mto,1245mosD,335,gal
mto,1245mosD,337,gal
mto,1245mosD,373,gal
mto,1245mosD,404,gal
mto,1245mosD,495,gal
mto,1245mosD,517,gal
mto,1245mosD,576,gal
mto,1245mosD,637,gal
mto,1245mosD,671,gal
mto,1245mosD,678,gal
mto,1245mosE,224,gal
mto,1245mosE,452,gal
mto,1245mosE,474,gal
mto,1245mosE,483,interactinggal
mto,1245mosE,485,gal
mto,1245mosE,579,gal
mto,1245mosE,584,gal
mto,1245mosE,610,gal
mto,1245mosG,207,gal
mto,1245mosG,212,gal
mto,1245mosG,358,gal
mto,1353mosB,1,gal
mto,1353mosB,2,gal
mto,1353mosB,3,gal
mto,1353mosB,24,gal
mto,1353mosB,29,gal
mto,1353mosB,282,gal
mto,1353mosB,590,notsure
mto,1353mosB,643,notsure
mto,1353mosB,890,gal
mto,1353mosB,898,gal
mto,1353mosB,903,gal
mto,1353mosB,907,gal
mto,1353mosB,908,gal
mto,1353mosB,918,gal
mto,1353mosB,984,gal
mto,1353mosC,35,notsure
mto,1353mosC,244,gal
mto,1353mosC,261,gal
mto,1353mosC,284,gal
mto,1353mosC,536,gal
mto,1353mosC,611,gal
mto,1353mosC,706,gal
mto,1353mosC,885,notsure
mto,1353mosC,1025,gal
mto,1353mosC,1062,gal
mto,1353mosC,1138,gal
mto,1353mosC,1273,gal
mto,1353mosC,1274,gal
mto,1353mosC,1276,gal
mto,1353mosC,1277,gal
mto,1353mosC,1278,gal
mto,1353mosC,1281,gal
mto,1353mosC,1282,gal
mto,1353mosC,1283,gal
mto,1353mosC,1285,gal
mto,1353mosC,1286,gal
mto,1353mosC,1287,gal
mto,1353mosC,1304,gal
mto,1353mosC,1306,gal
mto,1353mosC,1307,gal
mto,1353mosC,1310,gal
mto,1353mosC,1316,gal
mto,1353mosC,1319,gal
mto,1353mosC,1320,gal
mto,1353mosC,1339,gal
mto,1353mosC,1343,gal
mto,1353mosC,1349,gal
mto,1353mosC,1350,gal
mto,1353mosC,1351,gal
mto,1353mosC,1353,gal
mto,1353mosC,1356,gal
mto,1353mosC,1367,gal
mto,1353mosC,1369,gal
mto,1353mosC,1373,gal
mto,1353mosC,1377,gal
mto,1353mosC,1378,gal
mto,1353mosC,1382,gal
mto,1353mosC,1383,gal
mto,1353mosC,1393,gal
mto,1353mosC,1398,gal
mto,1353mosC,1495,gal
mto,1353mosC,1499,gal
mto,1353mosC,1501,gal
mto,1353mosC,1503,gal
mto,1353mosC,1505,gal
mto,1353mosC,1510,gal
mto,1353mosC,1513,gal
mto,1353mosC,1516,gal
mto,1353mosC,1518,gal
mto,1353mosC,1525,gal
mto,1353mosC,1578,gal
mto,1353mosD,16,gal
mto,1353mosD,19,gal
mto,1353mosD,28,gal
mto,1353mosD,29,gal
mto,1353mosE,437,gal
mto,1353mosE,467,gal
mto,1353mosE,813,gal
mto,1353mosE,814,gal
mto,1353mosE,837,gal
mto,1353mosE,843,gal
mto,1353mosE,873,gal
mto,1353mosE,1166,gal
mto,1353mosE,1185,notsure
mto,1353mosE,1236,notsure
mto,1353mosE,1773,gal
mto,1353mosF,1,gal
mto,1353mosG,544,notsure
mto,1353mosG,1558,notsure
mto,1353mosG,1856,gal
mto,1353mosG,1870,notsure
mto,1353mosG,2151,notsure
mto,1353mosG,2157,notsure
mto,1353mosG,2210,gal
mto,1353mosG,2420,notsure
mto,1353mosG,2700,gal
