,file,mass
0,g2_model329.fits,447641450.1035512
0,g2_model326.fits,
0,g2_model244.fits,342802061.22697663
0,g1_model559.fits,1063745125.8627216
0,g2_model433.fits,533714171.49354297
0,g1_model251.fits,352357651.7046494
0,g2_model691.fits,
0,g1_model168.fits,262324979.0413503
0,g1_model157.fits,
0,g2_model258.fits,
0,g1_model699.fits,
0,g1_model518.fits,
0,g2_model466.fits,520695122.45825213
0,g2_model74.fits,345853130.76593894
0,g1_model37.fits,
0,g2_model56.fits,237160290.6962832
0,g2_model399.fits,489696156.78601557
0,g2_model934.fits,5763627864.702023
0,g2_model851.fits,2236947097.1019173
0,g1_model634.fits,931623090.5635251
0,g1_model411.fits,417314276.21693665
0,g2_model355.fits,613070100.7488403
0,g2_model263.fits,
0,g2_model788.fits,1769296907.1135201
0,g2_model720.fits,1803828131.3719182
0,g2_model65.fits,374684709.2204724
0,g2_model190.fits,264760841.44596526
0,g1_model681.fits,
0,g1_model485.fits,1076808695.278888
0,g1_model670.fits,1075954813.7233822
0,g1_model392.fits,576807996.568219
0,g2_model243.fits,384936026.89842063
0,g2_model187.fits,575998668.3062339
0,g2_model145.fits,476853867.2114356
0,g1_model925.fits,
0,g2_model532.fits,
0,g2_model642.fits,
0,g2_model527.fits,813333652.7243121
0,g1_model590.fits,804407350.5550153
0,g1_model516.fits,712532609.9046756
0,g2_model417.fits,549058522.395805
0,g1_model650.fits,896810150.4746627
0,g2_model735.fits,1964244174.4677887
0,g2_model468.fits,
0,g2_model535.fits,679342144.2839617
0,g2_model804.fits,1720308624.4867544
0,g1_model133.fits,
0,g2_model512.fits,
0,g1_model41.fits,249169474.4046131
0,g1_model397.fits,556621605.8972013
0,g2_model537.fits,799823239.1350886
0,g2_model41.fits,255583964.1369161
0,g1_model463.fits,
0,g2_model700.fits,1235337694.0330205
0,g2_model327.fits,524254386.1972113
0,g2_model772.fits,1443723669.1502829
0,g2_model998.fits,15381813284.233183
0,g2_model575.fits,952806870.4056221
0,g2_model212.fits,517166972.3963239
0,g2_model966.fits,6655005465.016814
0,g2_model66.fits,275777898.11183846
0,g2_model195.fits,448274416.8167554
0,g1_model510.fits,856732010.8525515
0,g1_model609.fits,2175460486.725478
0,g1_model44.fits,
0,g1_model5.fits,182863185.10988915
0,g2_model289.fits,
0,g2_model96.fits,263175045.9553622
0,g2_model231.fits,398649383.2610786
0,g1_model762.fits,1393873535.3281975
0,g1_model798.fits,1874903451.2564702
0,g1_model468.fits,826214681.255287
0,g1_model622.fits,
0,g1_model985.fits,7126641646.517207
0,g2_model1.fits,375465173.63410926
0,g1_model610.fits,1117074885.7134695
0,g1_model199.fits,396564546.3786674
0,g2_model332.fits,
0,g2_model540.fits,740164578.2193326
0,g1_model513.fits,611518666.1216356
